,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
3,2019.11.21,,09.03.59,0,5G,-76,-11,1.0,10,-74,46,13,D
4,2019.11.21,,09.04.00,0,5G,-75,-12,2.0,10,-74,316,195,D
5,2019.11.21,,09.04.01,0,5G,-75,-12,2.0,10,-74,40994,1270,D
6,2019.11.21,,09.04.02,0,5G,-75,-10,4.0,10,-74,9236,130,D
9,2019.11.21,,09.04.05,0,5G,-75,-10,14.0,11,-78,152,5,D
10,2019.11.21,,09.04.06,0,5G,-74,-9,15.0,11,-78,257,9,D
12,2019.11.21,,09.04.08,0,5G,-74,-10,15.0,11,-78,14061,390,D
13,2019.11.21,,09.04.09,0,5G,-74,-10,15.0,11,-78,46263,226,D
14,2019.11.21,,09.04.10,0,5G,-76,-10,8.0,11,-80,35422,274,D
15,2019.11.21,,09.04.11,0,5G,-76,-10,8.0,11,-80,60855,422,D
16,2019.11.21,,09.04.12,0,5G,-76,-11,9.0,11,-77,50484,303,D
17,2019.11.21,,09.04.14,0,5G,-76,-11,9.0,11,-77,13253,62,D
60,2019.11.21,,09.04.58,38,5G,-96,-20,-11.0,7,-92,19274,123,D
62,2019.11.21,,09.05.00,38,5G,-97,-19,-6.0,8,-87,18,1,D
71,2019.11.21,,09.05.09,38,5G,-100,-20,-10.0,11,-86,16,27,D
99,2019.11.21,,09.05.36,37,5G,-98,-14,6.0,14,-85,23,12,D
100,2019.11.21,,09.05.37,37,5G,-98,-14,6.0,7,-91,8784,46,D
101,2019.11.21,,09.05.38,37,5G,-99,-14,4.0,12,-89,5237,27,D
133,2019.11.21,,09.06.09,38,5G,-100,-14,8.0,15,-85,24,28,D
134,2019.11.21,,09.06.10,38,5G,-104,-14,5.0,15,-85,11,43,D
135,2019.11.21,,09.06.11,38,5G,-104,-14,5.0,15,-85,354,30,D
136,2019.11.21,,09.06.12,41,5G,-104,-14,5.0,11,-110,354,30,D
137,2019.11.21,,09.06.12,41,5G,-100,-14,3.0,11,-110,736,31,D
139,2019.11.21,,09.06.14,41,5G,-100,-19,-3.0,11,-84,20313,655,D
141,2019.11.21,,09.06.16,41,5G,-100,-13,1.0,10,-86,8011,280,D
142,2019.11.21,,09.06.17,41,5G,-100,-13,1.0,11,-82,10884,323,D
148,2019.11.21,,09.06.23,41,5G,-98,-15,-11.0,10,-84,23570,121,D
193,2019.11.21,,09.07.08,27,5G,-94,-10,-4.0,10,-110,7175,66,D
194,2019.11.21,,09.07.09,27,5G,-94,-10,-4.0,9,-77,9207,81,D
240,2019.11.21,,09.07.54,30,5G,-108,-17,-12.0,9,-94,10272,85,D
241,2019.11.21,,09.07.55,30,5G,-108,-19,-11.0,9,-94,220,24,D
242,2019.11.21,,09.07.57,38,LTE,-108,-11,-6.0,8,-94,1257,28,D
243,2019.11.21,,09.07.58,38,LTE,-108,-11,-6.0,8,-90,11,0,D
250,2019.11.21,,09.08.05,38,LTE,-112,-17,-7.0,5,-92,178,119,D
253,2019.11.21,,09.08.09,38,LTE,-109,-13,-5.0,5,-92,15,27,D
255,2019.11.21,,09.08.11,38,LTE,-109,-14,-5.0,5,-92,36,4,D
261,2019.11.21,,09.08.17,38,LTE,-109,-13,-6.0,5,-92,15,16,D
284,2019.11.21,,09.08.42,38,LTE,-97,-8,4.0,10,-80,10015,330,D
309,2019.11.21,,09.09.08,38,LTE,-97,-8,11.0,14,-80,15,27,D
321,2019.11.21,,09.09.21,38,LTE,-95,-8,14.0,7,-78,26,17,D
325,2019.11.21,,09.09.27,29,LTE,-87,-7,20.0,12,-72,13669,166,D
326,2019.11.21,,09.09.28,29,LTE,-87,-7,20.0,14,-110,3867,270,D
367,2019.11.21,,09.10.08,29,LTE,-59,-5,15.0,15,-42,15,27,D
371,2019.11.21,,09.10.13,29,LTE,-62,-6,19.0,15,-49,24459,398,D
414,2019.11.21,,09.10.58,17,LTE,-66,-8,16.0,15,-49,22733,247,D
424,2019.11.21,,09.11.08,17,LTE,-69,-6,12.0,12,-50,15,27,D
436,2019.11.21,,09.11.21,17,LTE,-72,-11,16.0,11,-58,69,20,D
437,2019.11.21,,09.11.22,17,LTE,-76,-10,3.0,11,-58,55,13,D
438,2019.11.21,,09.11.23,17,LTE,-76,-10,3.0,13,-60,108,25,D
439,2019.11.21,,09.11.24,17,LTE,-77,-7,7.0,13,-60,74,12,D
