,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,2019.11.26,,13.00.56,0,5G,-97,-9,14.0,12,-86,170,420,D,
1,2019.11.26,,13.00.56,0,5G,-97,-9,14.0,12,-86,170,420,D,
3,2019.11.26,,13.00.57,0,5G,-99,-10,3.0,12,-88,38,12,D,
4,2019.11.26,,13.00.58,0,5G,-99,-10,3.0,12,-88,35,10,D,
6,2019.11.26,,13.01.01,0,5G,-99,-10,5.0,11,-86,79,20,D,
7,2019.11.26,,13.01.02,0,5G,-99,-10,11.0,11,-86,12000,730,D,
8,2019.11.26,,13.01.03,0,5G,-99,-10,11.0,11,-86,31224,1000,D,
9,2019.11.26,,13.01.04,0,5G,-98,-8,5.0,11,-86,35735,996,D,
10,2019.11.26,,13.01.05,0,5G,-98,-8,5.0,11,-86,11360,388,D,
11,2019.11.26,,13.01.06,0,5G,-99,-10,12.0,11,-86,24554,342,D,
12,2019.11.26,,13.01.07,0,5G,-99,-10,12.0,11,-84,32901,565,D,
13,2019.11.26,,13.01.08,0,5G,-98,-10,3.0,11,-86,23303,245,D,
14,2019.11.26,,13.01.09,0,5G,-98,-10,3.0,12,-88,24919,254,D,
15,2019.11.26,,13.01.10,0,5G,-97,-9,6.0,12,-88,29802,280,D,
16,2019.11.26,,13.01.11,0,5G,-97,-9,6.0,12,-88,26581,282,D,
17,2019.11.26,,13.01.13,0,5G,-99,-11,2.0,12,-88,16238,168,D,
18,2019.11.26,,13.01.14,0,5G,-99,-11,2.0,12,-88,19772,213,D,
19,2019.11.26,,13.01.15,0,5G,-100,-10,3.0,11,-86,8920,89,D,
25,2019.11.26,,13.01.21,0,5G,-100,-14,5.0,12,-84,22587,576,D,
36,2019.11.26,,13.01.33,0,5G,-97,-12,6.0,11,-110,15,28,D,
45,2019.11.26,,13.01.43,0,5G,-99,-11,4.0,13,-110,28,9,D,
62,2019.11.26,,13.02.01,0,5G,-91,-8,15.0,14,-66,16,50,D,
63,2019.11.26,,13.02.02,0,5G,-87,-9,7.0,14,-110,3701,37,D,
64,2019.11.26,,13.02.03,0,5G,-87,-9,7.0,15,-68,20101,195,D,
65,2019.11.26,,13.02.04,0,5G,-86,-8,14.0,15,-110,4296,40,D,
66,2019.11.26,,13.02.05,0,5G,-86,-8,14.0,15,-64,14,26,D,
111,2019.11.26,,13.02.49,8,5G,-90,-11,11.0,12,-73,14454,210,D,
112,2019.11.26,,13.02.51,8,5G,-90,-11,11.0,12,-73,16281,146,D,
126,2019.11.26,,13.03.06,8,5G,-91,-8,14.0,14,-110,15,27,D,
156,2019.11.26,,13.03.36,29,5G,-92,-9,6.0,13,-110,13913,128,D,
157,2019.11.26,,13.03.37,29,5G,-89,-11,6.0,13,-70,20122,152,D,
184,2019.11.26,,13.04.06,29,5G,-90,-13,6.0,10,-79,15,27,D,
201,2019.11.26,,13.04.22,51,5G,-98,-11,4.0,14,-81,15915,160,D,
202,2019.11.26,,13.04.23,51,5G,-98,-11,4.0,10,-78,8552,92,D,
242,2019.11.26,,13.05.05,46,5G,-89,-10,21.0,15,-110,15,27,D,
245,2019.11.26,,13.05.08,46,5G,-89,-9,17.0,15,-73,12916,153,D,
246,2019.11.26,,13.05.09,46,5G,-89,-8,18.0,11,-70,19981,203,D,
296,2019.11.26,,13.05.58,56,5G,-88,-8,15.0,14,-110,640,34,D,
297,2019.11.26,,13.05.58,56,5G,-88,-8,15.0,14,-110,640,34,D,
298,2019.11.26,,13.05.59,56,5G,-89,-7,9.0,13,-72,11471,191,D,
299,2019.11.26,,13.06.00,56,5G,-89,-7,9.0,13,-75,21118,288,D,
300,2019.11.26,,13.06.01,56,5G,-90,-8,15.0,15,-73,542,4,D,
305,2019.11.26,,13.06.05,55,5G,-94,-11,17.0,15,-78,15,27,D,
314,2019.11.26,,13.06.14,55,5G,-104,-9,14.0,13,-91,11,1,D,
345,2019.11.26,,13.06.45,60,LTE,-98,-12,11.0,12,-80,6808,139,D,
346,2019.11.26,,13.06.46,60,LTE,-88,-8,13.0,13,-75,18677,292,D,
347,2019.11.26,,13.06.47,60,LTE,-88,-8,13.0,13,-75,6854,110,D,
348,2019.11.26,,13.06.48,50,LTE,-88,-8,13.0,13,-75,6854,110,D,
367,2019.11.26,,13.07.06,50,LTE,-95,-7,17.0,13,-77,15,27,D,
395,2019.11.26,,13.07.33,58,5G,-97,-7,12.0,13,-83,1105,38,D,
396,2019.11.26,,13.07.33,61,5G,-97,-7,12.0,14,-74,1105,38,D,
397,2019.11.26,,13.07.34,61,5G,-91,-7,13.0,14,-74,7367,88,D,
398,2019.11.26,,13.07.35,61,5G,-91,-7,13.0,12,-79,9674,111,D,
399,2019.11.26,,13.07.36,61,5G,-97,-9,9.0,12,-84,15166,122,D,
431,2019.11.26,,13.08.06,56,5G,-106,-11,-2.0,14,-88,18,32,D,
446,2019.11.26,,13.08.21,28,5G,-107,-11,-3.0,14,-94,7190,157,D,
447,2019.11.26,,13.08.22,28,5G,-107,-11,-3.0,14,-110,11688,232,D,
448,2019.11.26,,13.08.23,28,5G,-106,-15,1.0,14,-110,13069,212,D,
488,2019.11.26,,13.09.06,28,5G,-107,-10,-2.0,14,-89,18,32,D,
490,2019.11.26,,13.09.08,28,5G,-106,-10,-1.0,14,-87,10997,180,D,
491,2019.11.26,,13.09.09,28,5G,-106,-10,-1.0,10,-89,18435,287,D,
492,2019.11.26,,13.09.10,28,5G,-105,-15,-1.0,10,-89,2809,59,D,
533,2019.11.26,,13.09.54,28,5G,-107,-10,-3.0,13,-88,3617,65,D,
534,2019.11.26,,13.09.55,28,5G,-105,-13,0.0,13,-88,16248,297,D,
535,2019.11.26,,13.09.56,28,5G,-105,-13,0.0,13,-88,8923,153,D,
544,2019.11.26,,13.10.06,28,5G,-105,-11,2.0,11,-90,15,1,D,
569,2019.11.26,,13.10.33,28,5G,-107,-12,0.0,11,-89,11,0,D,
576,2019.11.26,,13.10.41,28,5G,-105,-9,1.0,12,-89,2217,46,D,
577,2019.11.26,,13.10.42,28,5G,-105,-9,1.0,12,-89,15254,248,D,
578,2019.11.26,,13.10.43,28,5G,-106,-14,-1.0,12,-89,14951,210,D,
620,2019.11.26,,13.11.28,28,5G,-105,-13,1.0,11,-88,3516,121,D,
621,2019.11.26,,13.11.29,28,5G,-105,-13,1.0,13,-91,10967,180,D,
622,2019.11.26,,13.11.30,28,5G,-108,-16,-1.0,12,-88,11445,202,D,
623,2019.11.26,,13.11.31,28,5G,-108,-16,-1.0,12,-88,7531,135,D,
655,2019.11.26,,13.12.06,28,5G,-104,-13,-1.0,9,-88,16,27,D,
664,2019.11.26,,13.12.15,28,5G,-104,-12,1.0,14,-88,617,31,D,
665,2019.11.26,,13.12.16,28,5G,-104,-12,1.0,14,-88,9277,173,D,
666,2019.11.26,,13.12.17,28,5G,-106,-14,-1.0,14,-88,10136,207,D,
667,2019.11.26,,13.12.18,28,5G,-106,-14,-1.0,14,-88,9772,176,D,
668,2019.11.26,,13.12.19,28,5G,-106,-15,-1.0,14,-88,4214,74,D,
709,2019.11.26,,13.13.04,28,5G,-106,-12,-2.0,12,-88,4088,72,D,
710,2019.11.26,,13.13.05,28,5G,-106,-14,-2.0,12,-88,9311,184,D,
711,2019.11.26,,13.13.06,28,5G,-106,-14,-2.0,12,-88,9654,188,D,
712,2019.11.26,,13.13.07,28,5G,-104,-12,-1.0,11,-90,3004,44,D,
754,2019.11.26,,13.13.52,28,5G,-105,-12,-1.0,14,-86,5294,131,D,
755,2019.11.26,,13.13.53,28,5G,-105,-12,-1.0,10,-89,14037,242,D,
756,2019.11.26,,13.13.54,28,5G,-104,-15,0.0,11,-87,10995,216,D,
757,2019.11.26,,13.13.55,28,5G,-104,-15,0.0,11,-89,6318,91,D,
767,2019.11.26,,13.14.06,28,5G,-106,-10,5.0,11,-94,15,27,D,
800,2019.11.26,,13.14.40,23,5G,-94,-8,13.0,6,-77,6266,108,D,
801,2019.11.26,,13.14.42,23,5G,-89,-9,12.0,6,-77,4860,78,D,
802,2019.11.26,,13.14.43,23,5G,-89,-9,12.0,15,-80,24868,199,D,
