,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
3,2019.11.26,,15.02.51,,0,5G,-91,-15,3.0,10,-75,35,10,D
5,2019.11.26,,15.02.54,,0,5G,-92,-15,2.0,10,-,49,14,D
6,2019.11.26,,15.02.55,,0,5G,-93,-16,0.0,10,-,822,328,D
7,2019.11.26,,15.02.56,,0,5G,-93,-16,0.0,10,-,11256,525,D
8,2019.11.26,,15.02.57,,0,5G,-92,-15,1.0,10,-,13946,491,D
9,2019.11.26,,15.02.58,,0,5G,-92,-15,1.0,10,-,12408,464,D
10,2019.11.26,,15.02.59,,0,5G,-93,-16,0.0,10,-,13777,459,D
11,2019.11.26,,15.03.00,,0,5G,-93,-16,0.0,10,-,11297,360,D
12,2019.11.26,,15.03.01,,0,5G,-90,-14,1.0,11,-73,7744,428,D
13,2019.11.26,,15.03.02,,0,5G,-90,-14,1.0,11,-73,13324,421,D
14,2019.11.26,,15.03.03,,0,5G,-91,-15,2.0,11,-73,100,1,D
21,2019.11.26,,15.03.11,,0,5G,-91,-14,4.0,7,-72,4796,247,D
22,2019.11.26,,15.03.12,,0,5G,-89,-14,3.0,7,-72,7356,154,D
23,2019.11.26,,15.03.13,,0,5G,-89,-14,3.0,7,-72,11768,220,D
24,2019.11.26,,15.03.14,,0,5G,-88,-15,5.0,7,-72,13922,231,D
25,2019.11.26,,15.03.15,,0,5G,-88,-15,5.0,7,-72,12629,217,D
26,2019.11.26,,15.03.16,,0,5G,-88,-15,4.0,7,-72,11842,200,D
27,2019.11.26,,15.03.18,,0,5G,-88,-15,4.0,7,-72,16473,267,D
28,2019.11.26,,15.03.19,,0,5G,-89,-16,4.0,7,-72,14448,187,D
29,2019.11.26,,15.03.20,,0,5G,-89,-16,4.0,7,-72,18178,280,D
30,2019.11.26,,15.03.21,,0,5G,-88,-15,4.0,10,-70,16397,261,D
31,2019.11.26,,15.03.22,,0,5G,-88,-15,4.0,11,-72,15147,263,D
32,2019.11.26,,15.03.23,,0,5G,-88,-16,5.0,11,-72,11007,189,D
33,2019.11.26,,15.03.24,,0,5G,-88,-16,5.0,11,-72,9258,150,D
34,2019.11.26,,15.03.25,,0,5G,-89,-15,5.0,11,-72,9854,145,D
35,2019.11.26,,15.03.26,,0,5G,-89,-15,5.0,11,-72,6110,100,D
36,2019.11.26,,15.03.27,,0,5G,-88,-15,4.0,11,-72,11633,202,D
37,2019.11.26,,15.03.28,,0,5G,-88,-15,4.0,11,-72,12596,206,D
38,2019.11.26,,15.03.29,,0,5G,-88,-15,5.0,11,-72,6258,105,D
40,2019.11.26,,15.03.31,,0,5G,-89,-16,4.0,11,-72,16,201,D
61,2019.11.26,,15.03.54,,0,5G,-98,-18,-6.0,9,-,15,49,D
77,2019.11.26,,15.04.11,,0,5G,-98,-17,-2.0,12,-93,15,28,D
135,2019.11.26,,15.05.12,,41,5G,-83,-23,-11.0,2,-70,15,28,D
173,2019.11.26,,15.05.51,,31,5G,-85,-15,-2.0,12,-70,458,22,D
174,2019.11.26,,15.05.52,,31,5G,-84,-15,1.0,12,-70,245,11,D
175,2019.11.26,,15.05.53,,31,5G,-84,-15,1.0,7,-72,1242,31,D
176,2019.11.26,,15.05.54,,31,5G,-84,-17,-1.0,7,-72,15207,239,D
177,2019.11.26,,15.05.55,,31,5G,-84,-17,-1.0,7,-72,17777,194,D
193,2019.11.26,,15.06.11,,13,5G,-84,-12,-7.0,11,-64,15,27,D
220,2019.11.26,,15.06.40,,13,5G,-84,-13,-7.0,11,-66,7944,98,D
233,2019.11.26,,15.06.54,,13,5G,-85,-12,-4.0,12,-66,15,24,D
249,2019.11.26,,15.07.11,,13,5G,-85,-13,-8.0,12,-66,15,27,D
262,2019.11.26,,15.07.25,,13,5G,-85,-14,-7.0,10,-68,8276,124,D
263,2019.11.26,,15.07.27,,13,5G,-85,-15,-8.0,11,-66,6917,71,D
267,2019.11.26,,15.07.31,,13,5G,-85,-11,-6.0,12,-64,35,25,D
302,2019.11.26,,15.08.09,,13,5G,-84,-13,-4.0,11,-66,11,1,D
304,2019.11.26,,15.08.11,,13,5G,-84,-16,-3.0,11,-66,28,35,D
305,2019.11.26,,15.08.12,,13,5G,-83,-16,-6.0,10,-64,13663,124,D
306,2019.11.26,,15.08.13,,13,5G,-83,-16,-6.0,10,-64,3147,44,D
309,2019.11.26,,15.08.16,,13,5G,-84,-12,-6.0,10,-67,11,1,D
323,2019.11.26,,15.08.31,,13,5G,-83,-15,-6.0,13,-66,11,11,D
348,2019.11.26,,15.08.58,,13,5G,-84,-12,-1.0,12,-66,1125,37,D
361,2019.11.26,,15.09.12,,13,5G,-83,-13,-8.0,11,-65,17,21,D
373,2019.11.26,,15.09.25,,35,5G,-65,-8,10.0,14,-61,31,38,D
374,2019.11.26,,15.09.25,,35,5G,-72,-8,8.0,14,-61,31,38,D
375,2019.11.26,,15.09.26,,35,5G,-72,-8,8.0,10,-57,21357,380,D
393,2019.11.26,,15.09.43,,44,LTE,-75,-11,10.0,8,-61,1584,44,D
418,2019.11.26,,15.10.11,,13,LTE,-72,-12,17.0,11,-56,16,33,D
437,2019.11.26,,15.10.31,,47,LTE,-72,-7,8.0,14,-53,8972,772,D
438,2019.11.26,,15.10.31,,51,LTE,-72,-7,8.0,14,-53,8972,772,D
439,2019.11.26,,15.10.32,,51,LTE,-70,-11,9.0,14,-56,30643,1171,D
440,2019.11.26,,15.10.33,,51,LTE,-70,-11,9.0,12,-58,18726,535,D
441,2019.11.26,,15.10.34,,51,LTE,-75,-9,12.0,12,-58,13635,262,D
442,2019.11.26,,15.10.35,,51,LTE,-75,-9,12.0,12,-58,19233,352,D
443,2019.11.26,,15.10.36,,51,LTE,-79,-10,11.0,12,-62,25316,422,D
444,2019.11.26,,15.10.37,,51,LTE,-79,-10,11.0,10,-64,28395,434,D
445,2019.11.26,,15.10.38,,51,LTE,-86,-12,7.0,7,-69,12005,237,D
446,2019.11.26,,15.10.39,,40,LTE,-86,-12,7.0,7,-69,12005,237,D
447,2019.11.26,,15.10.39,,40,LTE,-86,-12,7.0,7,-69,12520,242,D
448,2019.11.26,,15.10.40,,40,LTE,-91,-14,1.0,8,-74,7608,167,D
449,2019.11.26,,15.10.41,,40,LTE,-91,-14,1.0,8,-74,9308,195,D
450,2019.11.26,,15.10.42,,40,LTE,-93,-13,-1.0,9,-76,9306,183,D
451,2019.11.26,,15.10.44,,40,LTE,-93,-13,-1.0,9,-76,9216,178,D
452,2019.11.26,,15.10.45,,40,LTE,-93,-14,-3.0,9,-76,8836,214,D
453,2019.11.26,,15.10.46,,40,LTE,-93,-14,-3.0,9,-76,8322,171,D
454,2019.11.26,,15.10.47,,40,LTE,-93,-14,-4.0,9,-76,8534,173,D
455,2019.11.26,,15.10.48,,40,LTE,-93,-14,-4.0,9,-,10783,197,D
