,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,16.08.19,0,5G,-102,-10,1.0,11,-85,36,7,D
1,16.08.19,1,5G,-102,-10,1.0,11,-85,36,7,D
2,16.08.19,1,5G,-102,-10,1.0,11,-85,1,6,D
3,16.08.20,1,5G,-103,-12,2.0,11,-85,1,1,D
4,16.08.21,1,5G,-103,-12,2.0,11,-85,35,10,D
5,16.08.23,1,5G,-103,-10,4.0,11,-85,2,1,D
6,16.08.24,1,5G,-103,-10,4.0,8,-87,0,0,D
7,16.08.25,1,5G,-104,-11,2.0,8,-87,165,58,D
8,16.08.26,1,5G,-104,-11,2.0,8,-87,9487,693,D
9,16.08.27,1,5G,-104,-12,2.0,8,-87,23314,775,D
10,16.08.28,1,5G,-104,-12,2.0,8,-87,18569,609,D
11,16.08.29,1,5G,-103,-17,3.0,8,-87,20833,760,D
12,16.08.30,1,5G,-103,-17,3.0,8,-87,23992,494,D
13,16.08.31,1,5G,-104,-17,3.0,8,-87,25321,484,D
14,16.08.32,1,5G,-104,-17,3.0,8,-87,21552,413,D
15,16.08.33,1,5G,-103,-16,3.0,8,-87,15722,323,D
16,16.08.34,1,5G,-103,-16,3.0,8,-87,17674,353,D
17,16.08.35,1,5G,-104,-17,2.0,8,-87,24553,664,D
18,16.08.36,1,5G,-104,-17,2.0,8,-87,26841,477,D
19,16.08.38,1,5G,-103,-17,2.0,8,-87,17427,379,D
20,16.08.39,1,5G,-103,-17,2.0,8,-87,23086,427,D
21,16.08.40,1,5G,-102,-17,2.0,11,-85,23876,490,D
22,16.08.41,1,5G,-102,-17,2.0,11,-85,24685,455,D
23,16.08.42,1,5G,-104,-16,0.0,9,-87,18733,276,D
24,16.08.43,1,5G,-104,-16,0.0,9,-87,3936,68,D
25,16.08.44,1,5G,-102,-13,-1.0,10,-85,1,1,D
27,16.08.46,1,5G,-101,-11,0.0,10,-87,5,6,D
28,16.08.47,1,5G,-101,-11,0.0,10,-87,0,0,D
29,16.08.48,1,5G,-101,-13,-7.0,6,-84,2,6,D
31,16.08.50,1,5G,-107,-12,-4.0,6,-84,2,4,D
33,16.08.53,1,5G,-105,-12,-8.0,9,-89,0,0,D
34,16.08.54,1,5G,-105,-12,-8.0,15,-85,0,0,D
36,16.08.56,1,5G,-103,-12,-2.0,15,-85,0,0,D
39,16.08.59,1,5G,-104,-14,-2.0,13,-86,0,0,D
44,16.09.04,1,5G,-102,-11,1.0,6,-84,0,0,D
47,16.09.08,1,5G,-102,-15,-5.0,6,-,2,5,D
48,16.09.09,1,5G,-102,-15,-5.0,11,-,0,0,D
49,16.09.10,1,5G,-101,-12,-2.0,11,-,2,5,D
50,16.09.11,1,5G,-101,-12,-2.0,11,-,3,5,D
51,16.09.12,1,5G,-100,-11,-1.0,6,-82,0,0,D
53,16.09.14,1,5G,-102,-11,-3.0,7,-86,0,0,D
55,16.09.16,1,5G,-98,-10,9.0,9,-,1,1,D
56,16.09.17,1,5G,-98,-10,9.0,7,-88,0,0,D
57,16.09.18,1,5G,-104,-11,5.0,7,-88,0,0,D
59,16.09.21,1,5G,-105,-11,2.0,9,-,0,0,D
61,16.09.23,1,5G,-103,-11,0.0,12,-86,0,0,D
62,16.09.24,1,5G,-103,-11,0.0,6,-88,0,0,D
63,16.09.25,1,5G,-105,-12,1.0,6,-88,18,50,D
64,16.09.26,1,5G,-105,-12,1.0,6,-88,0,0,D
65,16.09.27,1,5G,-105,-12,-1.0,6,-88,0,5,D
66,16.09.27,27,5G,-105,-12,-1.0,6,-88,0,5,D
67,16.09.28,27,5G,-105,-12,-1.0,6,-88,9738,189,D
68,16.09.29,27,5G,-104,-17,-4.0,10,-85,13774,291,D
69,16.09.30,27,5G,-104,-17,-4.0,10,-85,7013,132,D
71,16.09.32,27,5G,-102,-12,-1.0,10,-85,2,4,D
76,16.09.38,27,5G,-103,-13,-2.0,9,-86,0,1,D
77,16.09.39,27,5G,-103,-13,-2.0,11,-,0,0,D
79,16.09.41,27,5G,-102,-13,0.0,9,-82,6,4,D
80,16.09.42,27,5G,-99,-12,0.0,12,-80,2,2,D
81,16.09.43,27,5G,-99,-12,0.0,14,-82,0,0,D
87,16.09.49,27,5G,-95,-12,2.0,15,-80,2,4,D
89,16.09.52,27,5G,-97,-14,5.0,12,-91,2,4,D
90,16.09.53,27,5G,-98,-11,7.0,11,-94,0,0,D
91,16.09.54,27,5G,-98,-11,7.0,12,-,2,4,D
93,16.09.56,27,5G,-97,-14,5.0,10,-82,0,0,D
97,16.10.00,27,5G,-99,-11,1.0,12,-85,0,0,D
105,16.10.08,42,5G,-103,-12,0.0,9,-,0,0,D
106,16.10.09,42,5G,-103,-12,0.0,9,-,0,0,D
107,16.10.10,42,5G,-103,-13,2.0,9,-,2,5,D
108,16.10.11,42,5G,-103,-13,2.0,9,-,0,0,D
109,16.10.12,42,5G,-102,-12,-1.0,9,-,2,4,D
110,16.10.13,42,5G,-102,-12,-1.0,6,-81,0,0,D
111,16.10.14,42,5G,-98,-13,0.0,6,-81,2,5,D
112,16.10.14,41,5G,-98,-13,0.0,6,-81,2,5,D
113,16.10.15,41,5G,-98,-13,0.0,6,-81,13127,180,D
114,16.10.16,41,5G,-106,-17,-3.0,11,-88,11771,148,D
115,16.10.17,41,5G,-106,-17,-3.0,10,-90,10236,172,D
118,16.10.21,41,5G,-102,-12,0.0,10,-85,1,1,D
127,16.10.29,24,5G,-107,-13,-2.0,7,-88,15,27,D
128,16.10.30,24,5G,-107,-13,-2.0,7,-88,0,0,D
129,16.10.31,24,5G,-102,-11,0.0,7,-88,2,4,D
131,16.10.34,24,5G,-102,-12,-7.0,6,-90,2,4,D
133,16.10.36,24,5G,-104,-11,-2.0,10,-87,2,4,D
141,16.10.43,38,5G,-105,-13,3.0,14,-91,1,0,D
142,16.10.44,38,5G,-104,-10,-1.0,9,-88,0,0,D
143,16.10.45,38,5G,-104,-10,-1.0,12,-86,0,0,D
144,16.10.46,38,5G,-107,-11,3.0,11,-91,0,0,D
149,16.10.51,41,5G,-103,-9,8.0,15,-91,0,0,D
151,16.10.53,41,5G,-104,-10,4.0,15,-89,0,0,D
152,16.10.54,41,5G,-104,-10,4.0,8,-87,2,4,D
