,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
894,2019.11.23,,13.44.30,1,5G,-98,-12,6.0,10,-81,304,19,D
895,2019.11.23,,13.44.31,1,5G,-98,-12,6.0,10,-81,278,6,D
896,2019.11.23,,13.44.32,1,5G,-100,-14,4.0,9,-83,212,11,D
897,2019.11.23,,13.44.33,1,5G,-100,-14,4.0,9,-83,167,8,D
898,2019.11.23,,13.44.34,1,5G,-100,-14,-2.0,11,-81,34,1,D
899,2019.11.23,,13.44.35,1,5G,-100,-14,-2.0,11,-81,103,10,D
900,2019.11.23,,13.44.36,1,5G,-98,-11,6.0,15,-83,112,5,D
901,2019.11.23,,13.44.38,1,5G,-98,-11,6.0,15,-83,150,21,D
902,2019.11.23,,13.44.39,1,5G,-98,-14,4.0,15,-83,98,36,D
903,2019.11.23,,13.44.40,1,5G,-98,-14,4.0,15,-83,27,17,D
904,2019.11.23,,13.44.41,1,5G,-98,-13,11.0,14,-85,12,1,D
905,2019.11.23,,13.44.42,1,5G,-98,-13,11.0,14,-85,55,3,D
907,2019.11.23,,13.44.44,1,5G,-98,-16,-2.0,14,-86,26,1,D
909,2019.11.23,,13.44.46,1,5G,-99,-15,7.0,14,-110,1103,26,D
910,2019.11.23,,13.44.47,1,5G,-98,-14,-2.0,7,-82,300,9,D
911,2019.11.23,,13.44.48,1,5G,-98,-14,-2.0,12,-86,11,0,D
913,2019.11.23,,13.44.50,1,5G,-100,-14,-3.0,13,-110,412,16,D
914,2019.11.23,,13.44.52,1,5G,-98,-11,-3.0,13,-110,78,4,D
915,2019.11.23,,13.44.53,1,5G,-98,-11,-3.0,13,-110,78,2,D
916,2019.11.23,,13.44.54,1,5G,-99,-13,-3.0,13,-110,135,7,D
917,2019.11.23,,13.44.55,1,5G,-99,-13,-3.0,13,-110,33,1,D
918,2019.11.23,,13.44.56,1,5G,-98,-13,0.0,13,-110,44,1,D
919,2019.11.23,,13.44.57,1,5G,-98,-13,0.0,11,-84,13,5,D
920,2019.11.23,,13.44.58,1,5G,-99,-12,-2.0,11,-84,11,0,D
922,2019.11.23,,13.45.00,1,5G,-99,-12,-2.0,11,-84,33,1,D
926,2019.11.23,,13.45.05,1,5G,-99,-13,-6.0,11,-82,2246,41,D
927,2019.11.23,,13.45.06,1,5G,-99,-13,-6.0,10,-84,22,1,D
928,2019.11.23,,13.45.07,1,5G,-100,-14,-5.0,10,-84,1330,31,D
929,2019.11.23,,13.45.08,1,5G,-100,-14,-5.0,10,-86,18139,166,D
930,2019.11.23,,13.45.09,1,5G,-100,-16,-5.0,10,-86,1091,8,D
957,2019.11.23,,13.45.38,1,5G,-101,-16,-1.0,9,-110,15,27,D
967,2019.11.23,,13.45.49,1,5G,-101,-14,-1.0,12,-85,77,14,D
971,2019.11.23,,13.45.53,1,5G,-100,-13,3.0,12,-85,16016,134,D
981,2019.11.23,,13.46.04,1,5G,-100,-12,-2.0,12,-110,14,6,D
1013,2019.11.23,,13.46.38,1,5G,-99,-14,-2.0,14,-83,1356,62,D
1124,2019.11.23,,13.48.38,1,5G,-100,-12,5.0,11,-82,16,27,D
1137,2019.11.23,,13.48.52,1,5G,-100,-13,-1.0,8,-87,11,0,D
1162,2019.11.23,,13.49.19,1,5G,-98,-10,-2.0,10,-87,1379,148,D
1163,2019.11.23,,13.49.21,1,5G,-98,-10,-2.0,10,-87,18440,210,D
1180,2019.11.23,,13.49.39,1,5G,-100,-15,2.0,12,-88,15,0,D
1222,2019.11.23,,13.50.24,1,5G,-99,-10,4.0,13,-83,1085,381,D
1223,2019.11.23,,13.50.25,1,5G,-99,-10,4.0,13,-83,15758,651,D
1224,2019.11.23,,13.50.26,1,5G,-99,-16,3.0,13,-83,26079,745,D
1225,2019.11.23,,13.50.27,1,5G,-99,-16,3.0,13,-83,8207,247,D
1226,2019.11.23,,13.50.28,1,5G,-99,-13,4.0,13,-83,18989,481,D
1227,2019.11.23,,13.50.30,1,5G,-99,-13,4.0,13,-83,22260,483,D
1228,2019.11.23,,13.50.31,1,5G,-99,-16,2.0,13,-83,16634,247,D
1229,2019.11.23,,13.50.32,1,5G,-99,-16,2.0,13,-83,16968,254,D
1230,2019.11.23,,13.50.33,1,5G,-100,-15,2.0,13,-83,14521,260,D
1231,2019.11.23,,13.50.34,1,5G,-100,-15,2.0,13,-83,9375,157,D
1232,2019.11.23,,13.50.35,1,5G,-99,-14,4.0,11,-86,59,9,D
1233,2019.11.23,,13.50.36,1,5G,-99,-14,4.0,11,-86,1243,73,D
1247,2019.11.23,,13.50.51,1,5G,-104,-10,11.0,11,-85,44,1,D
1249,2019.11.23,,13.50.53,1,5G,-104,-10,1.0,11,-85,55,1,D
1250,2019.11.23,,13.50.54,1,5G,-99,-12,0.0,14,-88,80,7,D
1251,2019.11.23,,13.50.55,1,5G,-99,-12,0.0,14,-88,134,5,D
1252,2019.11.23,,13.50.56,1,5G,-99,-15,5.0,11,-86,224,11,D
1253,2019.11.23,,13.50.57,1,5G,-99,-15,5.0,11,-86,224,12,D
1254,2019.11.23,,13.50.59,1,5G,-99,-11,1.0,11,-86,45,2,D
1255,2019.11.23,,13.51.00,1,5G,-99,-11,1.0,12,-88,212,7,D
1256,2019.11.23,,13.51.01,1,5G,-98,-11,9.0,12,-86,44,1,D
1257,2019.11.23,,13.51.02,1,5G,-98,-11,9.0,12,-86,56,4,D
1259,2019.11.23,,13.51.04,1,5G,-98,-10,5.0,12,-86,44,1,D
1260,2019.11.23,,13.51.05,1,5G,-99,-12,4.0,12,-86,22,0,D
1261,2019.11.23,,13.51.06,1,5G,-99,-12,4.0,12,-86,34,2,D
1262,2019.11.23,,13.51.07,1,5G,-99,-12,3.0,12,-86,56,3,D
1263,2019.11.23,,13.51.08,1,5G,-99,-12,3.0,12,-86,44,1,D
1264,2019.11.23,,13.51.09,1,5G,-99,-15,-1.0,12,-86,34,2,D
1274,2019.11.23,,13.51.20,1,5G,-99,-13,-3.0,11,-82,2364,57,D
1275,2019.11.23,,13.51.21,1,5G,-99,-13,-3.0,11,-87,1781,45,D
1276,2019.11.23,,13.51.22,1,5G,-99,-11,6.0,11,-87,123,6,D
1277,2019.11.23,,13.51.23,1,5G,-99,-11,6.0,11,-87,1600,24,D
1278,2019.11.23,,13.51.24,1,5G,-100,-11,3.0,11,-87,89,5,D
1279,2019.11.23,,13.51.26,1,5G,-100,-11,3.0,11,-87,22,16,D
1281,2019.11.23,,13.51.28,1,5G,-99,-13,2.0,11,-87,12,1,D
1282,2019.11.23,,13.51.29,1,5G,-99,-14,2.0,11,-87,93,49,D
1283,2019.11.23,,13.51.30,1,5G,-99,-14,2.0,11,-87,20,5,D
1285,2019.11.23,,13.51.32,1,5G,-99,-11,4.0,11,-87,60,5,D
1288,2019.11.23,,13.51.35,1,5G,-99,-16,3.0,11,-87,11,0,D
1290,2019.11.23,,13.51.37,1,5G,-100,-15,-3.0,11,-87,27,3,D
1295,2019.11.23,,13.51.43,1,5G,-98,-10,1.0,11,-82,4334,95,D
1296,2019.11.23,,13.51.44,1,5G,-99,-14,1.0,11,-82,7448,134,D
