,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,11.49.59,0,HSDPA,-91,-2,-,-,-,22,36,D
1,11.49.59,2,HSDPA,-91,-2,-,-,-,22,36,D
2,11.49.59,2,HSDPA,-91,-2,-,-,-,73,27,D
3,11.50.01,2,HSDPA,-91,-2,-,-,-,72,21,D
4,11.50.02,2,HSDPA,-91,-2,-,-,-,106,20,D
5,11.50.03,2,HSDPA,-91,-2,-,-,-,10,5,D
6,11.50.04,2,HSDPA,-91,-2,-,-,-,6,3,D
7,11.50.04,2,HSDPA,-91,-2,-,-,-,6,3,D
8,11.50.05,2,HSDPA,-89,-2,-,-,-,1034,40,D
9,11.50.06,2,HSDPA,-89,-2,-,-,-,1993,46,D
10,11.50.07,2,HSDPA,-89,-2,-,-,-,2914,52,D
11,11.50.08,2,HSDPA,-89,-2,-,-,-,2559,44,D
12,11.50.09,2,HSDPA,-89,-2,-,-,-,2686,49,D
13,11.50.10,2,HSDPA,-89,-2,-,-,-,2724,49,D
14,11.50.12,2,HSDPA,-89,-2,-,-,-,2412,42,D
15,11.50.13,2,HSDPA,-89,-2,-,-,-,2111,40,D
16,11.50.14,2,HSDPA,-89,-2,-,-,-,2412,46,D
17,11.50.15,2,HSDPA,-89,-2,-,-,-,2570,49,D
18,11.50.17,2,HSDPA,-89,-2,-,-,-,1,1,D
19,11.50.18,2,HSDPA,-89,-2,-,-,-,1,1,D
20,11.50.18,2,HSDPA,-91,-2,-,-,-,339,17,D
21,11.50.19,2,HSDPA,-91,-2,-,-,-,1676,56,D
22,11.50.20,2,HSDPA,-89,-2,-,-,-,1914,35,D
23,11.50.22,2,HSDPA,-89,-2,-,-,-,2366,41,D
24,11.50.23,2,HSDPA,-87,-2,-,-,-,2243,38,D
25,11.50.24,2,HSDPA,-87,-2,-,-,-,3619,65,D
26,11.50.25,2,HSDPA,-87,-2,-,-,-,3560,65,D
27,11.50.26,2,HSDPA,-87,-2,-,-,-,927,17,D
28,11.50.27,2,HSDPA,-89,-2,-,-,-,22,0,D
29,11.50.28,2,HSDPA,-89,-2,-,-,-,11,0,D
30,11.50.29,2,HSDPA,-87,-2,-,-,-,3167,58,D
31,11.50.30,2,HSDPA,-87,-2,-,-,-,2964,63,D
32,11.50.32,2,HSDPA,-89,-2,-,-,-,2,0,D
33,11.50.33,2,HSDPA,-89,-2,-,-,-,2,2,D
34,11.50.33,2,HSDPA,-89,-2,-,-,-,2,2,D
35,11.50.34,2,HSDPA,-87,-2,-,-,-,2,3,D
36,11.50.35,2,HSDPA,-87,-2,-,-,-,11,1,D
37,11.50.36,2,HSDPA,-75,-2,-,-,-,22,1,D
38,11.50.37,2,HSDPA,-75,-2,-,-,-,67,2,D
39,11.50.38,2,HSDPA,-71,-2,-,-,-,68,2,D
40,11.50.39,2,HSDPA,-71,-2,-,-,-,255,10,D
42,11.50.42,2,HSPA+,-81,-2,-,-,-,2438,64,D
