,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
60,60,2020.01.06,Day1,09:57:29,0,5G,-104,-13.0,-5.0,14,-110,273,4,D,
61,61,2020.01.06,Day1,09:57:31,0,5G,-104,-13.0,-5.0,14,-110,27524,329,D,
62,62,2020.01.06,Day1,09:57:34,0,5G,-104,-13.0,-5.0,14,-110,4921,30,D,
63,63,2020.01.06,Day1,09:57:37,0,5G,-104,-13.0,-5.0,14,-110,2886,14,D,
64,64,2020.01.06,Day1,09:57:38,0,5G,-104,-13.0,-5.0,14,-110,277,4,D,
65,65,2020.01.06,Day1,09:57:40,0,5G,-104,-13.0,-5.0,14,-110,16337,49,D,
66,66,2020.01.06,Day1,09:57:42,0,5G,-104,-13.0,-5.0,14,-110,276,4,D,
67,67,2020.01.06,Day1,09:57:44,0,5G,-104,-13.0,-5.0,14,-110,12647,50,D,
68,68,2020.01.06,Day1,09:57:46,0,5G,-104,-13.0,-5.0,14,-110,278,5,D,
69,69,2020.01.06,Day1,09:57:48,0,5G,-104,-13.0,-5.0,14,-110,10483,39,D,
70,70,2020.01.06,Day1,09:57:50,0,5G,-104,-13.0,-5.0,14,-110,5192,60,D,
71,71,2020.01.06,Day1,09:57:53,0,5G,-104,-13.0,-5.0,14,-110,7919,65,D,
72,72,2020.01.06,Day1,09:57:54,0,5G,-104,-13.0,-5.0,14,-110,281,5,D,
73,73,2020.01.06,Day1,09:57:56,0,5G,-104,-13.0,-5.0,14,-110,278,9,D,
74,74,2020.01.06,Day1,09:57:58,0,5G,-104,-13.0,-5.0,14,-110,6038,39,D,
75,75,2020.01.06,Day1,09:58:00,0,5G,-104,-13.0,-5.0,14,-110,276,8,D,
76,76,2020.01.06,Day1,09:58:02,0,5G,-104,-13.0,-5.0,14,-110,3272,18,D,
77,77,2020.01.06,Day1,09:58:04,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
78,78,2020.01.06,Day1,09:58:07,0,5G,-104,-13.0,-5.0,14,-110,2708,26,D,
79,79,2020.01.06,Day1,09:58:08,0,5G,-104,-13.0,-5.0,14,-110,276,7,D,
80,80,2020.01.06,Day1,09:58:09,0,5G,-104,-13.0,-5.0,14,-110,276,7,D,
81,81,2020.01.06,Day1,09:58:10,0,5G,-104,-13.0,-5.0,14,-110,4919,20,D,
