,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,2019.11.28,,12.05.30,1,5G,-100,-10,1.0,11,-84,27,8,D,
3,2019.11.28,,12.05.32,1,5G,-100,-10,-1.0,13,-110,35,10,D,
4,2019.11.28,,12.05.33,1,5G,-101,-11,-7.0,13,-110,867,187,D,
5,2019.11.28,,12.05.34,1,5G,-101,-11,-7.0,13,-110,2198,42,D,
7,2019.11.28,,12.05.36,1,5G,-100,-11,7.0,13,-110,1824,186,D,
9,2019.11.28,,12.05.38,1,5G,-100,-10,4.0,13,-110,11,1,D,
10,2019.11.28,,12.05.39,1,5G,-101,-11,7.0,13,-110,37315,459,D,
11,2019.11.28,,12.05.41,1,5G,-101,-11,7.0,13,-110,43922,568,D,
12,2019.11.28,,12.05.42,1,5G,-101,-10,13.0,13,-110,9551,1288,D,
13,2019.11.28,,12.05.43,1,5G,-101,-10,13.0,14,-81,830,8,D,
14,2019.11.28,,12.05.44,1,5G,-100,-13,-1.0,14,-110,1308,11,D,
16,2019.11.28,,12.05.46,1,5G,-98,-10,7.0,14,-78,24006,508,D,
18,2019.11.28,,12.05.49,1,5G,-99,-10,7.0,14,-78,2497,19,D,
20,2019.11.28,,12.05.51,1,5G,-99,-13,6.0,13,-81,277,2,D,
21,2019.11.28,,12.05.52,1,5G,-99,-13,6.0,13,-81,1309,23,D,
23,2019.11.28,,12.05.54,1,5G,-98,-9,11.0,13,-79,2489,25,D,
25,2019.11.28,,12.05.56,1,5G,-99,-10,3.0,13,-81,2246,22,D,
27,2019.11.28,,12.05.59,1,5G,-98,-9,14.0,14,-79,273,6,D,
28,2019.11.28,,12.06.00,1,5G,-98,-10,4.0,14,-79,875,11,D,
29,2019.11.28,,12.06.01,1,5G,-98,-10,4.0,14,-79,39,11,D,
30,2019.11.28,,12.06.02,1,5G,-99,-9,8.0,14,-79,77,228,D,
33,2019.11.28,,12.06.05,1,5G,-100,-10,3.0,13,-77,279,9,D,
35,2019.11.28,,12.06.08,1,5G,-99,-10,1.0,13,-77,1688,31,D,
37,2019.11.28,,12.06.10,1,5G,-98,-14,-1.0,11,-81,276,8,D,
38,2019.11.28,,12.06.11,1,5G,-99,-14,9.0,13,-86,1268,22,D,
39,2019.11.28,,12.06.12,1,5G,-99,-14,9.0,13,-86,279,9,D,
41,2019.11.28,,12.06.14,1,5G,-99,-10,3.0,14,-86,1576,23,D,
42,2019.11.28,,12.06.15,1,5G,-98,-10,10.0,14,-86,36,18,D,
43,2019.11.28,,12.06.17,1,5G,-98,-10,10.0,14,-86,1280,18,D,
45,2019.11.28,,12.06.19,1,5G,-99,-12,0.0,14,-110,275,8,D,
46,2019.11.28,,12.06.20,1,5G,-100,-12,13.0,12,-91,1802,24,D,
48,2019.11.28,,12.06.22,1,5G,-101,-13,-6.0,12,-91,1464,18,D,
49,2019.11.28,,12.06.23,1,5G,-101,-13,-6.0,14,-88,337,34,D,
51,2019.11.28,,12.06.26,1,5G,-99,-10,6.0,14,-86,271,6,D,
52,2019.11.28,,12.06.27,1,5G,-98,-10,11.0,14,-86,2471,22,D,
53,2019.11.28,,12.06.28,1,5G,-98,-10,11.0,14,-86,282,6,D,
55,2019.11.28,,12.06.30,1,5G,-100,-9,12.0,11,-84,225,1,D,
56,2019.11.28,,12.06.31,1,5G,-98,-12,18.0,14,-86,2369,32,D,
58,2019.11.28,,12.06.34,1,5G,-96,-9,12.0,15,-81,277,11,D,
