,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
109,2019.11.28,,,07.29.56,,33,5G,-88,-10,21.0,15,-68,279,10,D
110,2019.11.28,,,07.29.56,,40,5G,-88,-10,21.0,15,-68,279,10,D
112,2019.11.28,,,07.29.58,,40,5G,-85,-7,6.0,14,-69,279,10,D
114,2019.11.28,,,07.30.00,,40,5G,-84,-8,7.0,15,-69,1725,33,D
115,2019.11.28,,,07.30.01,,40,5G,-84,-8,7.0,14,-73,282,10,D
117,2019.11.28,,,07.30.03,,40,5G,-94,-9,-4.0,14,-76,276,10,D
118,2019.11.28,,,07.30.05,,40,5G,-95,-8,8.0,14,-81,1004,20,D
119,2019.11.28,,,07.30.06,,40,5G,-95,-8,8.0,13,-78,280,9,D
120,2019.11.28,,,07.30.06,,38,5G,-95,-8,8.0,13,-78,280,9,D
122,2019.11.28,,,07.30.08,,38,5G,-91,-9,3.0,12,-80,1323,33,D
124,2019.11.28,,,07.30.10,,38,5G,-92,-11,10.0,13,-,281,10,D
125,2019.11.28,,,07.30.11,,38,5G,-91,-14,8.0,13,-,739,19,D
126,2019.11.28,,,07.30.12,,38,5G,-91,-14,8.0,9,-73,275,9,D
128,2019.11.28,,,07.30.15,,38,5G,-90,-9,13.0,13,-,285,10,D
129,2019.11.28,,,07.30.16,,38,5G,-92,-12,3.0,13,-,2189,48,D
131,2019.11.28,,,07.30.18,,38,5G,-91,-13,12.0,15,-,169,4,D
132,2019.11.28,,,07.30.19,,19,5G,-91,-13,12.0,14,-74,169,4,D
133,2019.11.28,,,07.30.19,,19,5G,-91,-13,12.0,14,-74,309,25,D
134,2019.11.28,,,07.30.20,,19,5G,-96,-15,-1.0,14,-74,726,16,D
135,2019.11.28,,,07.30.22,,19,5G,-96,-15,-1.0,13,-,278,8,D
136,2019.11.28,,,07.30.23,,19,5G,-94,-11,2.0,13,-,1208,24,D
137,2019.11.28,,,07.30.24,,19,5G,-94,-11,2.0,14,-,281,10,D
139,2019.11.28,,,07.30.26,,19,5G,-95,-10,4.0,14,-,2263,44,D
141,2019.11.28,,,07.30.28,,19,5G,-91,-14,6.0,14,-,279,10,D
142,2019.11.28,,,07.30.29,,19,5G,-89,-10,13.0,14,-72,1063,24,D
144,2019.11.28,,,07.30.32,,19,5G,-90,-11,4.0,11,-,992,25,D
146,2019.11.28,,,07.30.34,,19,5G,-84,-13,3.0,15,-74,277,8,D
147,2019.11.28,,,07.30.35,,19,5G,-84,-13,3.0,15,-74,835,26,D
149,2019.11.28,,,07.30.37,,19,5G,-83,-14,3.0,10,-74,1983,47,D
151,2019.11.28,,,07.30.40,,19,5G,-88,-12,1.0,11,-72,283,12,D
153,2019.11.28,,,07.30.42,,19,5G,-87,-9,12.0,11,-72,284,11,D
