,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
3,2019.12.06,,,11.49.26,,0,5G,-96,-14,9.0,9,-78,36,11,D
6,2019.12.06,,,11.49.30,,0,5G,-96,-13,3.0,9,-78,4021,241,D
7,2019.12.06,,,11.49.31,,0,5G,-96,-13,3.0,9,-78,1876,29,D
8,2019.12.06,,,11.49.32,,0,5G,-96,-15,1.0,9,-78,517,158,D
9,2019.12.06,,,11.49.33,,0,5G,-96,-15,1.0,10,-80,97,77,D
10,2019.12.06,,,11.49.34,,0,5G,-95,-12,-6.0,11,-78,16207,355,D
11,2019.12.06,,,11.49.35,,0,5G,-95,-12,-6.0,11,-78,55191,890,D
12,2019.12.06,,,11.49.37,,0,5G,-93,-14,2.0,11,-78,19866,461,D
13,2019.12.06,,,11.49.38,,0,5G,-93,-14,2.0,11,-78,1884,18,D
31,2019.12.06,,,11.49.57,,0,5G,-85,-15,15.0,14,-77,40,17,D
42,2019.12.06,,,11.50.09,,0,5G,-71,-10,24.0,15,-60,29,683,D
43,2019.12.06,,,11.50.10,,0,5G,-71,-10,24.0,15,-60,3735,59,D
51,2019.12.06,,,11.50.18,,36,5G,-65,-9,28.0,15,-61,105,58,D
52,2019.12.06,,,11.50.19,,36,5G,-65,-9,28.0,15,-62,38788,759,D
53,2019.12.06,,,11.50.20,,36,5G,-65,-14,25.0,15,-62,58553,2315,D
54,2019.12.06,,,11.50.21,,36,5G,-65,-14,25.0,15,-56,661,5,D
55,2019.12.06,,,11.50.22,,36,5G,-68,-9,20.0,15,-61,273,6,D
57,2019.12.06,,,11.50.25,,36,5G,-66,-11,24.0,15,-63,1556,13,D
59,2019.12.06,,,11.50.27,,36,5G,-80,-9,3.0,15,-70,273,6,D
60,2019.12.06,,,11.50.27,,19,5G,-80,-9,3.0,15,-70,273,6,D
61,2019.12.06,,,11.50.28,,19,5G,-80,-9,3.0,14,-75,273,10,D
62,2019.12.06,,,11.50.29,,19,5G,-79,-9,14.0,12,-68,1089,17,D
64,2019.12.06,,,11.50.31,,19,5G,-79,-12,15.0,11,-64,277,11,D
66,2019.12.06,,,11.50.34,,19,5G,-67,-10,0.0,14,-62,274,9,D
67,2019.12.06,,,11.50.35,,19,5G,-67,-10,0.0,13,-64,901,13,D
68,2019.12.06,,,11.50.36,,19,5G,-65,-11,26.0,15,-60,272,10,D
70,2019.12.06,,,11.50.38,,19,5G,-79,-9,19.0,15,-64,1556,19,D
72,2019.12.06,,,11.50.40,,19,5G,-74,-10,20.0,14,-64,274,9,D
74,2019.12.06,,,11.50.43,,19,5G,-75,-11,2.0,15,-63,275,10,D
75,2019.12.06,,,11.50.44,,19,5G,-75,-11,2.0,15,-63,2432,23,D
76,2019.12.06,,,11.50.44,,39,5G,-75,-11,2.0,15,-63,2432,23,D
78,2019.12.06,,,11.50.46,,39,5G,-75,-14,-1.0,11,-67,274,2,D
79,2019.12.06,,,11.50.47,,39,5G,-82,-13,0.0,11,-67,274,5,D
81,2019.12.06,,,11.50.50,,39,5G,-83,-9,18.0,14,-75,1629,18,D
83,2019.12.06,,,11.50.52,,39,5G,-85,-11,3.0,12,-77,273,10,D
85,2019.12.06,,,11.50.54,,39,5G,-83,-12,9.0,9,-72,1721,24,D
88,2019.12.06,,,11.50.56,,46,5G,-83,-11,9.0,9,-72,275,10,D
90,2019.12.06,,,11.50.59,,46,5G,-82,-11,1.0,12,-70,1675,16,D
91,2019.12.06,,,11.51.00,,46,5G,-82,-11,1.0,12,-68,272,9,D
93,2019.12.06,,,11.51.02,,46,5G,-83,-13,2.0,12,-68,273,8,D
94,2019.12.06,,,11.51.03,,46,5G,-79,-14,4.0,12,-68,1457,18,D
95,2019.12.06,,,11.51.04,,46,5G,-79,-14,4.0,14,-66,274,9,D
97,2019.12.06,,,11.51.07,,46,5G,-83,-11,14.0,14,-64,272,8,D
99,2019.12.06,,,11.51.09,,46,5G,-74,-11,18.0,15,-58,1338,14,D
100,2019.12.06,,,11.51.10,,41,5G,-71,-9,18.0,14,-61,131,6,D
101,2019.12.06,,,11.51.10,,41,5G,-71,-9,18.0,14,-61,131,6,D
103,2019.12.06,,,11.51.12,,41,5G,-78,-9,16.0,14,-57,276,10,D
104,2019.12.06,,,11.51.13,,41,5G,-78,-9,16.0,15,-63,2791,20,D
105,2019.12.06,,,11.51.15,,41,5G,-81,-12,6.0,12,-60,276,10,D
