,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,2019.12.01,,13.05.00,0,LTE,-88,-9,9.0,10,-69,261,208,D,
1,2019.12.01,,13.05.00,0,LTE,-86,-7,19.0,10,-69,25,8,D,
2,2019.12.01,,13.05.01,1,LTE,-86,-7,19.0,10,-69,25,8,D,
3,2019.12.01,,13.05.01,1,LTE,-86,-7,19.0,10,-69,350,27,D,
4,2019.12.01,,13.05.02,1,LTE,-89,-7,9.0,10,-73,45,29,D,
6,2019.12.01,,13.05.04,1,LTE,-90,-8,12.0,10,-73,7623,447,D,
7,2019.12.01,,13.05.05,1,LTE,-90,-8,12.0,12,-70,6070,387,D,
8,2019.12.01,,13.05.06,1,LTE,-86,-7,8.0,12,-70,86,19,D,
9,2019.12.01,,13.05.07,1,LTE,-86,-7,8.0,12,-70,6647,671,D,
11,2019.12.01,,13.05.10,1,LTE,-85,-8,8.0,10,-68,11,1,D,
13,2019.12.01,,13.05.12,1,LTE,-85,-10,15.0,10,-68,799,19,D,
14,2019.12.01,,13.05.13,1,LTE,-86,-10,17.0,11,-70,14,0,D,
18,2019.12.01,,13.05.17,1,LTE,-85,-9,19.0,10,-68,334,73,D,
21,2019.12.01,,13.05.21,1,LTE,-84,-8,19.0,11,-66,31705,732,D,
22,2019.12.01,,13.05.22,1,LTE,-86,-11,11.0,15,-69,34449,612,D,
23,2019.12.01,,13.05.23,1,LTE,-86,-11,11.0,15,-69,41914,2254,D,
24,2019.12.01,,13.05.24,1,LTE,-86,-10,13.0,15,-69,4024,102,D,
26,2019.12.01,,13.05.26,1,LTE,-86,-6,14.0,15,-69,2307,29,D,
28,2019.12.01,,13.05.29,1,LTE,-87,-10,13.0,10,-71,283,11,D,
32,2019.12.01,,13.05.33,1,LTE,-86,-8,7.0,12,-70,2961,52,D,
33,2019.12.01,,13.05.34,1,LTE,-86,-8,7.0,12,-70,283,11,D,
35,2019.12.01,,13.05.36,1,LTE,-87,-6,19.0,12,-70,279,11,D,
36,2019.12.01,,13.05.38,1,LTE,-89,-6,13.0,12,-70,1463,35,D,
38,2019.12.01,,13.05.40,1,LTE,-86,-7,10.0,12,-70,910,24,D,
40,2019.12.01,,13.05.42,1,LTE,-86,-8,17.0,12,-70,285,6,D,
41,2019.12.01,,13.05.43,1,LTE,-86,-8,17.0,12,-70,1308,30,D,
