,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
461,2019.11.23,,14.38.22,5,5G,-70,-15,18.0,15,-61,11725,82,D,
462,2019.11.23,,14.38.23,5,5G,-70,-15,18.0,15,-61,7821,34,D,
465,2019.11.23,,14.38.26,5,5G,-69,-14,21.0,15,-61,15,1,D,
503,2019.11.23,,14.39.07,5,5G,-70,-16,17.0,15,-60,6560,63,D,
504,2019.11.23,,14.39.08,5,5G,-70,-16,17.0,15,-62,23583,144,D,
521,2019.11.23,,14.39.25,14,5G,-82,-16,9.0,11,-65,18,32,D,
542,2019.11.23,,14.39.47,34,5G,-81,-16,13.0,14,-65,11,4,D,
544,2019.11.23,,14.39.49,34,5G,-79,-17,0.0,14,-65,59,108,D,
545,2019.11.23,,14.39.49,44,5G,-79,-17,0.0,14,-65,59,108,D,
549,2019.11.23,,14.39.53,44,5G,-72,-15,6.0,15,-56,34360,219,D,
582,2019.11.23,,14.40.26,59,5G,-72,-10,13.0,11,-55,18,33,D,
597,2019.11.23,,14.40.39,77,5G,-86,-13,2.0,11,-71,33722,177,D,
598,2019.11.23,,14.40.40,77,5G,-86,-13,3.0,10,-69,11,0,D,
646,2019.11.23,,14.41.24,75,5G,-104,-19,-3.0,10,-87,1685,39,D,
647,2019.11.23,,14.41.25,75,5G,-100,-18,-6.0,11,-83,1773,32,D,
648,2019.11.23,,14.41.26,75,5G,-100,-18,-6.0,10,-86,1275,52,D,
649,2019.11.23,,14.41.27,75,5G,-102,-19,-7.0,10,-86,1254,34,D,
650,2019.11.23,,14.41.28,73,5G,-102,-19,-7.0,10,-86,1254,34,D,
651,2019.11.23,,14.41.28,73,5G,-102,-19,-7.0,10,-86,2897,52,D,
652,2019.11.23,,14.41.29,73,5G,-104,-19,-5.0,11,-110,4042,76,D,
653,2019.11.23,,14.41.30,73,5G,-104,-19,-5.0,11,-88,2713,49,D,
654,2019.11.23,,14.41.31,73,5G,-101,-19,-3.0,11,-84,6368,107,D,
655,2019.11.23,,14.41.32,73,5G,-101,-19,-3.0,9,-86,3954,64,D,
656,2019.11.23,,14.41.33,74,5G,-101,-19,-3.0,12,-84,3954,64,D,
657,2019.11.23,,14.41.33,74,5G,-101,-16,2.0,12,-84,5186,80,D,
693,2019.11.23,,14.42.10,82,HSPA+,-87,-2,-,-,-110,31,15,D,
708,2019.11.23,,14.42.25,50,HSPA+,-79,-2,-,-,-110,1976,136,D,
709,2019.11.23,,14.42.26,50,HSPA+,-79,-2,-,-,-110,4002,84,D,
710,2019.11.23,,14.42.27,50,HSPA+,-77,-2,-,-,-110,7299,141,D,
711,2019.11.23,,14.42.28,50,HSPA+,-77,-2,-,-,-110,10767,174,D,
712,2019.11.23,,14.42.29,50,HSPA+,-75,-2,-,-,-110,11705,196,D,
713,2019.11.23,,14.42.31,50,HSPA+,-75,-2,-,-,-110,7028,116,D,
756,2019.11.23,,14.43.15,35,5G,-96,-15,-6.0,10,-75,1668,54,D,
757,2019.11.23,,14.43.15,46,5G,-96,-15,-6.0,10,-75,1668,54,D,
758,2019.11.23,,14.43.16,46,5G,-96,-15,-6.0,10,-75,886,23,D,
759,2019.11.23,,14.43.17,46,5G,-92,-20,-9.0,4,-110,8293,118,D,
760,2019.11.23,,14.43.18,46,5G,-92,-20,-9.0,10,-110,20889,190,D,
766,2019.11.23,,14.43.26,55,5G,-103,-21,-11.0,7,-91,23,41,D,
808,2019.11.23,,14.44.03,84,5G,-94,-12,-1.0,8,-75,16235,127,D,
809,2019.11.23,,14.44.04,86,5G,-94,-12,-1.0,8,-75,16235,127,D,
810,2019.11.23,,14.44.04,86,5G,-99,-15,-5.0,8,-75,16420,108,D,
834,2019.11.23,,14.44.26,89,5G,-100,-17,-10.0,4,-78,15,27,D,
859,2019.11.23,,14.44.49,90,LTE,-100,-11,6.0,7,-86,20777,295,D,
860,2019.11.23,,14.44.50,86,LTE,-100,-11,6.0,7,-86,20777,295,D,
861,2019.11.23,,14.44.50,86,LTE,-100,-11,6.0,7,-86,10840,142,D,
894,2019.11.23,,14.45.26,25,5G,-104,-13,-4.0,8,-90,15,27,D,
904,2019.11.23,,14.45.36,23,5G,-107,-11,6.0,11,-85,10856,183,D,
905,2019.11.23,,14.45.37,23,5G,-103,-14,5.0,11,-85,22272,322,D,
916,2019.11.23,,14.45.48,23,5G,-103,-10,1.0,11,-83,11,0,D,
947,2019.11.23,,14.46.22,31,5G,-102,-11,0.0,14,-86,11977,213,D,
948,2019.11.23,,14.46.23,31,5G,-102,-11,0.0,14,-86,9683,144,D,
990,2019.11.23,,14.47.07,19,5G,-98,-13,1.0,7,-82,3281,67,D,
991,2019.11.23,,14.47.08,19,5G,-98,-13,1.0,9,-80,25860,345,D,
992,2019.11.23,,14.47.09,19,5G,-97,-15,0.0,10,-84,1991,26,D,
1007,2019.11.23,,14.47.26,19,5G,-97,-11,1.0,10,-79,15,27,D,
1032,2019.11.23,,14.47.54,12,5G,-95,-11,9.0,14,-77,9940,150,D,
1033,2019.11.23,,14.47.55,12,5G,-94,-11,5.0,14,-77,23377,294,D,
1057,2019.11.23,,14.48.19,13,5G,-105,-15,-2.0,6,-84,46,64,D,
1063,2019.11.23,,14.48.26,13,5G,-105,-11,1.0,10,-87,16,34,D,
1076,2019.11.23,,14.48.40,13,5G,-99,-10,1.0,12,-83,9558,129,D,
1077,2019.11.23,,14.48.41,13,5G,-99,-10,1.0,12,-86,21486,234,D,
1090,2019.11.23,,14.48.55,13,5G,-102,-12,-1.0,12,-86,16,24,D,
1091,2019.11.23,,14.48.56,13,5G,-102,-12,-1.0,12,-86,1111,511,D,
1092,2019.11.23,,14.48.57,13,5G,-102,-12,-3.0,12,-86,15144,575,D,
1093,2019.11.23,,14.48.58,13,5G,-102,-12,-3.0,12,-86,18358,589,D,
1094,2019.11.23,,14.48.59,13,5G,-102,-16,-3.0,12,-86,17267,467,D,
1095,2019.11.23,,14.49.00,13,5G,-102,-16,-3.0,12,-86,18750,529,D,
1096,2019.11.23,,14.49.01,13,5G,-102,-18,0.0,12,-86,13605,400,D,
