,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
307,08.07.52,0,5G,-90,-15,-3.0,8,-68,15,27,D
316,08.08.01,0,5G,-89,-11,1.0,13,-69,2,4,D
318,08.08.04,0,5G,-89,-13,-1.0,13,-69,2,4,D
320,08.08.06,0,5G,-89,-14,1.0,13,-69,2,4,D
336,08.08.23,0,5G,-90,-13,0.0,11,-68,2,4,D
338,08.08.25,0,5G,-90,-13,1.0,11,-68,2,4,D
340,08.08.27,0,5G,-89,-17,-3.0,11,-68,2,4,D
341,08.08.28,0,5G,-91,-14,0.0,11,-68,14919,89,D
342,08.08.29,0,5G,-91,-14,0.0,11,-68,4794,10,D
355,08.08.43,0,5G,-90,-13,-3.0,12,-68,2,4,D
357,08.08.46,0,5G,-89,-13,-6.0,12,-68,2,5,D
359,08.08.48,0,5G,-90,-13,0.0,11,-70,2,4,D
363,08.08.52,0,5G,-90,-12,1.0,8,-68,15,27,D
375,08.09.05,0,5G,-90,-12,0.0,8,-69,2,4,D
377,08.09.07,0,5G,-91,-12,1.0,9,-73,2,4,D
379,08.09.09,0,5G,-90,-12,-3.0,9,-69,2,5,D
383,08.09.14,0,5G,-90,-17,2.0,9,-70,109,14,D
384,08.09.15,0,5G,-90,-17,2.0,9,-70,9364,35,D
394,08.09.25,0,5G,-90,-12,0.0,9,-68,2,4,D
396,08.09.28,0,5G,-91,-16,-1.0,9,-74,2,4,D
398,08.09.30,0,5G,-90,-12,2.0,6,-69,2,4,D
414,08.09.47,0,5G,-89,-14,6.0,7,-72,2,4,D
416,08.09.49,0,5G,-90,-14,-5.0,7,-72,2,4,D
418,08.09.51,0,5G,-90,-14,1.0,7,-72,2,4,D
419,08.09.52,0,5G,-89,-12,-5.0,7,-72,15,27,D
425,08.09.59,0,5G,-90,-14,-6.0,7,-72,5,6,D
426,08.10.00,0,5G,-90,-14,-6.0,7,-72,16274,79,D
433,08.10.07,0,5G,-90,-12,-2.0,7,-72,3,5,D
435,08.10.10,0,5G,-90,-14,-4.0,7,-72,2,4,D
437,08.10.12,0,5G,-89,-14,2.0,7,-72,2,4,D
453,08.10.29,0,5G,-91,-13,4.0,8,-70,2,4,D
455,08.10.31,0,5G,-90,-13,-7.0,8,-70,2,4,D
457,08.10.33,0,5G,-91,-13,2.0,8,-70,2,4,D
468,08.10.45,0,5G,-90,-14,2.0,9,-71,13789,118,D
472,08.10.49,0,5G,-89,-17,-8.0,6,-69,2,4,D
474,08.10.51,0,5G,-90,-18,-7.0,7,-71,3,5,D
475,08.10.53,0,5G,-89,-18,-8.0,6,-69,30,27,D
476,08.10.54,0,5G,-89,-18,-8.0,6,-69,2,4,D
492,08.11.11,0,5G,-90,-18,-8.0,9,-69,2,4,D
494,08.11.13,0,5G,-89,-17,-4.0,7,-69,2,5,D
496,08.11.15,0,5G,-89,-19,-8.0,7,-69,2,5,D
510,08.11.30,0,5G,-90,-19,-7.0,7,-69,11794,131,D
513,08.11.33,0,5G,-89,-19,-9.0,7,-69,2,4,D
515,08.11.36,0,5G,-89,-18,-5.0,7,-69,2,4,D
530,08.11.52,0,5G,-91,-12,3.0,7,-69,15,27,D
531,08.11.53,0,5G,-90,-12,4.0,7,-69,2,4,D
533,08.11.55,0,5G,-90,-12,5.0,7,-69,2,4,D
535,08.11.57,0,5G,-90,-11,3.0,7,-69,2,4,D
551,08.12.14,0,5G,-90,-12,1.0,10,-71,2,4,D
552,08.12.15,0,5G,-90,-12,1.0,10,-71,14062,85,D
554,08.12.18,0,5G,-91,-12,1.0,10,-71,2,4,D
555,08.12.19,0,5G,-91,-13,-9.0,10,-71,1,2,D
570,08.12.35,0,5G,-90,-11,4.0,13,-69,2,4,D
572,08.12.37,0,5G,-90,-11,3.0,13,-69,2,4,D
574,08.12.39,0,5G,-90,-13,1.0,13,-69,2,4,D
586,08.12.52,0,5G,-90,-13,2.0,13,-69,15,26,D
591,08.12.58,0,5G,-90,-15,-5.0,13,-69,2,4,D
593,08.13.00,0,5G,-89,-12,4.0,13,-69,2,4,D
594,08.13.01,0,5G,-89,-12,4.0,13,-69,18429,210,D
609,08.13.17,0,5G,-90,-12,-1.0,14,-68,2,4,D
611,08.13.19,0,5G,-90,-10,-6.0,14,-68,2,4,D
613,08.13.21,0,5G,-90,-15,-6.0,14,-68,2,4,D
630,08.13.40,0,5G,-89,-13,0.0,8,-69,2,4,D
632,08.13.42,0,5G,-90,-13,-2.0,8,-69,2,4,D
636,08.13.46,0,5G,-90,-15,0.0,8,-69,21753,203,D
642,08.13.53,0,5G,-90,-14,-2.0,8,-69,15,27,D
