,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
2826,2019.11.26,,,08.53.20,,1,5G,-92,-15,-7.0,13,-70,15,26,D
2846,2019.11.26,,,08.53.42,,1,5G,-94,-13,1.0,9,-70,28543,162,D
2882,2019.11.26,,,08.54.21,,1,5G,-90,-17,-3.0,8,-71,15,26,D
2888,2019.11.26,,,08.54.27,,1,5G,-94,-14,-3.0,10,-72,18776,101,D
2930,2019.11.26,,,08.55.12,,1,5G,-91,-14,2.0,15,-71,4329,40,D
2931,2019.11.26,,,08.55.13,,1,5G,-92,-16,0.0,15,-71,26186,157,D
2938,2019.11.26,,,08.55.21,,1,5G,-93,-14,-1.0,15,-71,15,26,D
2973,2019.11.26,,,08.55.58,,1,5G,-89,-19,-2.0,14,-71,33929,175,D
2994,2019.11.26,,,08.56.21,,1,5G,-92,-13,2.0,8,-70,15,26,D
3015,2019.11.26,,,08.56.44,,1,5G,-92,-12,-6.0,6,-70,23890,123,D
3049,2019.11.26,,,08.57.20,,1,5G,-90,-13,1.0,12,-70,15,26,D
3057,2019.11.26,,,08.57.29,,1,5G,-91,-11,-1.0,4,-74,12752,69,D
3099,2019.11.26,,,08.58.14,,1,5G,-92,-12,-2.0,14,-73,33133,152,D
3105,2019.11.26,,,08.58.21,,1,5G,-92,-15,-3.0,8,-71,15,26,D
3111,2019.11.26,,,08.58.27,,1,5G,-91,-13,2.0,14,-71,14,6,D
3141,2019.11.26,,,08.58.59,,1,5G,-91,-13,2.0,11,-75,21878,128,D
3161,2019.11.26,,,08.59.21,,1,5G,-90,-11,1.0,10,-70,15,26,D
3183,2019.11.26,,,08.59.45,,1,5G,-94,-12,0.0,10,-71,29456,153,D
3217,2019.11.26,,,09.00.21,,1,5G,-91,-15,-2.0,9,-74,15,1,D
3225,2019.11.26,,,09.00.30,,1,5G,-91,-15,1.0,8,-74,10326,44,D
3243,2019.11.26,,,09.00.49,,1,5G,-91,-15,0.0,15,-,29,77,D
3267,2019.11.26,,,09.01.15,,1,5G,-93,-14,-3.0,6,-72,11813,90,D
3272,2019.11.26,,,09.01.21,,1,5G,-89,-17,-8.0,7,-72,17,25,D
3309,2019.11.26,,,09.02.01,,1,5G,-93,-13,-2.0,9,-76,3105,33,D
3328,2019.11.26,,,09.02.21,,1,5G,-91,-18,-9.0,8,-,15,26,D
3350,2019.11.26,,,09.02.45,,1,5G,-93,-13,-1.0,7,-70,26,19,D
3384,2019.11.26,,,09.03.21,,1,5G,-94,-14,0.0,7,-70,15,26,D
3395,2019.11.26,,,09.03.33,,1,5G,-91,-21,-11.0,6,-72,11,1,D
3439,2019.11.26,,,09.04.21,,1,5G,-93,-15,-7.0,6,-72,15,27,D
3450,2019.11.26,,,09.04.32,,1,5G,-92,-12,3.0,8,-,11,1,D
3466,2019.11.26,,,09.04.50,,1,5G,-91,-13,4.0,8,-72,160,54,D
3467,2019.11.26,,,09.04.51,,1,5G,-93,-13,1.0,8,-72,26,0,D
3495,2019.11.26,,,09.05.21,,1,5G,-92,-12,0.0,8,-72,16,26,D
3526,2019.11.26,,,09.05.54,,1,5G,-94,-16,-10.0,7,-72,21100,600,D
3527,2019.11.26,,,09.05.55,,1,5G,-91,-13,-1.0,7,-72,70603,1031,D
3528,2019.11.26,,,09.05.57,,1,5G,-91,-13,-1.0,7,-72,32638,197,D
3531,2019.11.26,,,09.06.00,,1,5G,-94,-13,4.0,7,-72,12599,133,D
3570,2019.11.26,,,09.06.42,,1,5G,-93,-17,-9.0,8,-72,25353,153,D
3571,2019.11.26,,,09.06.43,,1,5G,-92,-17,2.0,8,-72,39,9,D
3582,2019.11.26,,,09.06.55,,1,5G,-93,-13,-2.0,14,-71,15,26,D
3599,2019.11.26,,,09.07.13,,1,5G,-93,-14,2.0,8,-73,46,6,D
3612,2019.11.26,,,09.07.27,,1,5G,-92,-14,-1.0,9,-71,21792,137,D
3619,2019.11.26,,,09.07.35,,1,5G,-91,-14,1.0,9,-71,11,1,D
3627,2019.11.26,,,09.07.43,,1,5G,-92,-15,3.0,9,-71,17,41,D
3638,2019.11.26,,,09.07.55,,1,5G,-91,-15,-2.0,9,-71,23,39,D
3661,2019.11.26,,,09.08.20,,1,5G,-93,-15,-4.0,8,-71,16,15,D
3662,2019.11.26,,,09.08.21,,1,5G,-93,-15,-4.0,8,-71,15369,85,D
3704,2019.11.26,,,09.09.06,,1,5G,-92,-13,-1.0,7,-71,34115,230,D
3746,2019.11.26,,,09.09.51,,1,5G,-93,-13,1.0,10,-76,33661,168,D
3749,2019.11.26,,,09.09.54,,1,5G,-94,-16,-1.0,9,-72,16,26,D
3788,2019.11.26,,,09.10.36,,1,5G,-90,-13,-1.0,9,-73,20918,103,D
3805,2019.11.26,,,09.10.55,,1,5G,-92,-19,-13.0,8,-71,15,26,D
3830,2019.11.26,,,09.11.22,,1,5G,-93,-13,1.0,15,-71,111,20,D
3831,2019.11.26,,,09.11.23,,1,5G,-94,-16,-2.0,15,-71,32982,193,D
3861,2019.11.26,,,09.11.55,,1,5G,-92,-13,5.0,5,-70,15,26,D
3873,2019.11.26,,,09.12.08,,1,5G,-91,-11,2.0,15,-72,10223,71,D
3908,2019.11.26,,,09.12.46,,1,5G,-93,-16,2.0,8,-70,14,6,D
3915,2019.11.26,,,09.12.53,,1,5G,-93,-13,0.0,8,-70,19638,118,D
3916,2019.11.26,,,09.12.54,,1,5G,-93,-13,0.0,8,-70,15,26,D
3957,2019.11.26,,,09.13.39,,1,5G,-91,-15,0.0,7,-71,15883,94,D
3972,2019.11.26,,,09.13.55,,1,5G,-91,-17,0.0,10,-70,15,26,D
3999,2019.11.26,,,09.14.24,,1,5G,-91,-15,-8.0,15,-71,24559,138,D
4015,2019.11.26,,,09.14.41,,1,5G,-92,-13,-1.0,15,-71,18,26,D
4017,2019.11.26,,,09.14.43,,1,5G,-91,-12,1.0,15,-71,15,24,D
4028,2019.11.26,,,09.14.55,,1,5G,-91,-14,4.0,10,-71,15,26,D
4044,2019.11.26,,,09.15.12,,1,5G,-93,-13,-2.0,7,-,15221,82,D
4045,2019.11.26,,,09.15.13,,1,5G,-93,-13,-10.0,7,-,2978,14,D
4083,2019.11.26,,,09.15.54,,1,5G,-91,-12,3.0,7,-70,15,26,D
4086,2019.11.26,,,09.15.58,,1,5G,-92,-13,1.0,7,-70,8903,55,D
4087,2019.11.26,,,09.15.59,,1,5G,-91,-14,-6.0,7,-70,33792,146,D
4129,2019.11.26,,,09.16.44,,1,5G,-90,-15,3.0,15,-72,21985,118,D
4139,2019.11.26,,,09.16.55,,1,5G,-90,-13,4.0,8,-76,15,26,D
4171,2019.11.26,,,09.17.29,,1,5G,-92,-14,3.0,7,-72,20834,101,D
4195,2019.11.26,,,09.17.55,,1,5G,-91,-13,-2.0,7,-72,15,26,D
4196,2019.11.26,,,09.17.56,,1,5G,-91,-13,-2.0,7,-72,11,1,D
4213,2019.11.26,,,09.18.14,,1,5G,-91,-11,4.0,9,-74,10443,132,D
4214,2019.11.26,,,09.18.16,,1,5G,-91,-11,4.0,8,-70,11178,53,D
4250,2019.11.26,,,09.18.54,,1,5G,-90,-13,0.0,15,-73,15,25,D
4256,2019.11.26,,,09.19.01,,1,5G,-90,-11,2.0,15,-73,23360,118,D
4271,2019.11.26,,,09.19.17,,1,5G,-92,-12,3.0,10,-75,1338,39,D
4298,2019.11.26,,,09.19.46,,1,5G,-95,-16,-12.0,11,-75,23385,118,D
4306,2019.11.26,,,09.19.55,,1,5G,-91,-11,3.0,7,-70,15,26,D
4340,2019.11.26,,,09.20.31,,1,5G,-93,-12,-1.0,7,-74,18241,136,D
4346,2019.11.26,,,09.20.38,,1,5G,-94,-14,-2.0,7,-73,11,1,D
4362,2019.11.26,,,09.20.55,,1,5G,-92,-11,-2.0,8,-73,15,26,D
4382,2019.11.26,,,09.21.17,,1,5G,-94,-17,-3.0,10,-73,10586,58,D
4424,2019.11.26,,,09.22.02,,1,5G,-91,-12,0.0,9,-72,30243,128,D
4466,2019.11.26,,,09.22.47,,1,5G,-92,-12,4.0,10,-75,4883,93,D
4473,2019.11.26,,,09.22.55,,1,5G,-93,-13,0.0,6,-70,15,26,D
4529,2019.11.26,,,09.23.55,,1,5G,-94,-12,-2.0,5,-72,18,26,D
4585,2019.11.26,,,09.24.55,,1,5G,-94,-14,-6.0,7,-71,15,26,D
4633,2019.11.26,,,09.25.47,,1,5G,-93,-13,-3.0,9,-72,137,97,D
4641,2019.11.26,,,09.25.56,,1,5G,-92,-13,-3.0,9,-72,14,0,D
4685,2019.11.26,,,09.26.43,,1,5G,-91,-19,-8.0,7,-71,18,30,D
4691,2019.11.26,,,09.26.50,,1,5G,-93,-13,0.0,9,-74,61,318,D
4692,2019.11.26,,,09.26.51,,1,5G,-93,-13,0.0,8,-70,3187,370,D
4693,2019.11.26,,,09.26.52,,1,5G,-91,-12,-1.0,8,-70,17181,461,D
