,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
2451,2019.12.04,,13.30.26,0,5G,-100,-18,2.0,15,-80,4428,27,D
2452,2019.12.04,,13.30.27,0,5G,-100,-18,2.0,15,-80,4970,45,D
2453,2019.12.04,,13.30.28,0,5G,-100,-17,4.0,15,-80,9048,74,D
2454,2019.12.04,,13.30.29,0,5G,-100,-17,4.0,15,-80,1591,5,D
2459,2019.12.04,,13.30.35,0,5G,-100,-18,-1.0,15,-80,18,36,D
2496,2019.12.04,,13.31.15,0,5G,-99,-16,-2.0,14,-82,5240,93,D
2497,2019.12.04,,13.31.16,0,5G,-99,-17,0.0,11,-78,2729,45,D
2498,2019.12.04,,13.31.17,0,5G,-99,-17,0.0,14,-80,20070,168,D
2499,2019.12.04,,13.31.18,0,5G,-99,-13,0.0,14,-80,1599,14,D
2516,2019.12.04,,13.31.36,0,5G,-99,-17,-1.0,13,-77,15,25,D
2540,2019.12.04,,13.32.02,0,5G,-101,-17,-3.0,14,-84,4753,88,D
2541,2019.12.04,,13.32.03,0,5G,-101,-18,-5.0,14,-84,1083,17,D
2542,2019.12.04,,13.32.04,0,5G,-101,-18,-5.0,15,-81,9210,105,D
2543,2019.12.04,,13.32.05,0,5G,-101,-18,-5.0,15,-81,17425,101,D
2570,2019.12.04,,13.32.35,0,5G,-101,-16,0.0,14,-80,15,26,D
2584,2019.12.04,,13.32.50,0,5G,-98,-16,2.0,14,-80,4290,38,D
2585,2019.12.04,,13.32.51,0,5G,-99,-17,1.0,14,-80,25319,138,D
2626,2019.12.04,,13.33.35,0,5G,-100,-17,-3.0,13,-80,15,26,D
2627,2019.12.04,,13.33.36,0,5G,-100,-18,4.0,13,-80,30375,159,D
2669,2019.12.04,,13.34.22,0,5G,-101,-13,6.0,14,-80,34231,181,D
2680,2019.12.04,,13.34.34,0,5G,-99,-17,-1.0,14,-80,20,18,D
2681,2019.12.04,,13.34.35,0,5G,-100,-18,-2.0,14,-80,15,26,D
2694,2019.12.04,,13.34.49,0,5G,-100,-19,-3.0,14,-80,14,6,D
2711,2019.12.04,,13.35.07,0,5G,-100,-17,5.0,11,-80,23394,129,D
2737,2019.12.04,,13.35.35,0,5G,-100,-18,-4.0,12,-79,15,26,D
2753,2019.12.04,,13.35.52,0,5G,-100,-14,-2.0,11,-80,34557,191,D
2758,2019.12.04,,13.35.58,0,5G,-100,-12,4.0,11,-80,11,1,D
2792,2019.12.04,,13.36.35,0,5G,-100,-15,5.0,15,-80,15,26,D
2795,2019.12.04,,13.36.38,0,5G,-100,-14,1.0,15,-80,28736,144,D
2836,2019.12.04,,13.37.22,0,5G,-101,-17,-5.0,12,-80,2086,12,D
2837,2019.12.04,,13.37.23,0,5G,-100,-18,-3.0,12,-80,26494,130,D
2848,2019.12.04,,13.37.35,0,5G,-100,-18,-2.0,12,-80,14,0,D
2879,2019.12.04,,13.38.09,0,5G,-100,-13,5.0,15,-83,8645,132,D
2883,2019.12.04,,13.38.13,0,5G,-100,-16,-2.0,10,-79,2053,99,D
2884,2019.12.04,,13.38.14,0,5G,-100,-16,-2.0,11,-83,2799,46,D
2885,2019.12.04,,13.38.16,0,5G,-100,-17,4.0,10,-80,19642,136,D
2905,2019.12.04,,13.38.37,0,5G,-100,-15,4.0,15,-79,19,31,D
2927,2019.12.04,,13.39.01,0,5G,-100,-19,8.0,10,-79,31653,199,D
2958,2019.12.04,,13.39.35,0,5G,-102,-15,2.0,15,-80,15,26,D
2969,2019.12.04,,13.39.46,0,5G,-101,-18,7.0,15,-80,29447,174,D
3011,2019.12.04,,13.40.32,0,5G,-101,-14,-2.0,9,-79,33741,187,D
3014,2019.12.04,,13.40.35,0,5G,-101,-14,-13.0,9,-79,15,26,D
3042,2019.12.04,,13.41.05,0,5G,-104,-20,-5.0,14,-81,11,1,D
3053,2019.12.04,,13.41.17,0,5G,-104,-18,4.0,15,-86,1636,42,D
3054,2019.12.04,,13.41.18,0,5G,-104,-18,4.0,11,-79,599,28,D
3055,2019.12.04,,13.41.19,0,5G,-103,-19,-6.0,11,-79,20960,178,D
3069,2019.12.04,,13.41.35,0,5G,-104,-15,5.0,11,-79,15,26,D
3099,2019.12.04,,13.42.07,0,5G,-103,-18,3.0,15,-79,25756,178,D
3100,2019.12.04,,13.42.08,0,5G,-103,-18,3.0,15,-79,13441,73,D
3127,2019.12.04,,13.42.37,0,5G,-103,-18,-6.0,15,-81,16,0,D
3141,2019.12.04,,13.42.52,0,5G,-102,-18,-2.0,15,-80,10066,68,D
3142,2019.12.04,,13.42.53,0,5G,-102,-18,-2.0,15,-80,19982,107,D
3180,2019.12.04,,13.43.35,0,5G,-102,-20,-3.0,12,-110,15,26,D
3183,2019.12.04,,13.43.38,0,5G,-101,-18,-6.0,15,-110,19538,101,D
3184,2019.12.04,,13.43.39,0,5G,-101,-18,-6.0,15,-110,9726,45,D
3225,2019.12.04,,13.44.23,0,5G,-100,-16,1.0,9,-110,11807,72,D
3226,2019.12.04,,13.44.24,0,5G,-100,-16,1.0,9,-110,4622,22,D
3233,2019.12.04,,13.44.32,0,5G,-99,-15,2.0,9,-110,11,1,D
3236,2019.12.04,,13.44.35,0,5G,-99,-16,-2.0,9,-110,15,26,D
3267,2019.12.04,,13.45.09,0,5G,-101,-14,2.0,12,-79,362,16,D
3268,2019.12.04,,13.45.10,0,5G,-101,-14,2.0,15,-77,43,3,D
3269,2019.12.04,,13.45.11,0,5G,-100,-17,2.0,9,-79,1171,77,D
3270,2019.12.04,,13.45.12,0,5G,-100,-17,2.0,9,-79,11,0,D
3271,2019.12.04,,13.45.13,0,5G,-100,-17,-4.0,9,-79,34,3,D
3272,2019.12.04,,13.45.14,0,5G,-100,-17,-4.0,9,-79,35,6,D
3273,2019.12.04,,13.45.15,0,5G,-100,-16,-2.0,9,-79,974,65,D
3274,2019.12.04,,13.45.16,0,5G,-100,-16,-2.0,9,-79,218,21,D
3275,2019.12.04,,13.45.17,0,5G,-100,-15,0.0,9,-79,580,14,D
3276,2019.12.04,,13.45.18,0,5G,-100,-15,0.0,11,-77,2287,29,D
3277,2019.12.04,,13.45.20,0,5G,-101,-16,-2.0,11,-77,1875,21,D
3278,2019.12.04,,13.45.21,0,5G,-101,-16,-2.0,11,-77,2196,24,D
3279,2019.12.04,,13.45.22,0,5G,-100,-17,-3.0,11,-77,1735,49,D
3280,2019.12.04,,13.45.23,0,5G,-100,-17,-3.0,11,-77,5175,53,D
3281,2019.12.04,,13.45.24,0,5G,-100,-17,-3.0,11,-77,3004,26,D
3282,2019.12.04,,13.45.25,0,5G,-100,-17,-3.0,11,-77,2096,44,D
3283,2019.12.04,,13.45.26,0,5G,-100,-17,-2.0,11,-77,2357,38,D
3284,2019.12.04,,13.45.27,0,5G,-100,-17,-2.0,11,-77,3210,36,D
3285,2019.12.04,,13.45.28,0,5G,-101,-17,-2.0,11,-77,3592,26,D
3286,2019.12.04,,13.45.29,0,5G,-101,-17,-2.0,11,-77,1323,33,D
3287,2019.12.04,,13.45.30,0,5G,-100,-17,-4.0,11,-77,1777,23,D
3288,2019.12.04,,13.45.31,0,5G,-100,-17,-4.0,11,-77,1237,15,D
3289,2019.12.04,,13.45.32,0,5G,-101,-17,-1.0,11,-77,1464,22,D
3290,2019.12.04,,13.45.34,0,5G,-101,-17,-1.0,11,-77,1539,17,D
3291,2019.12.04,,13.45.35,0,5G,-101,-16,-3.0,11,-77,1173,55,D
3292,2019.12.04,,13.45.36,0,5G,-101,-16,-3.0,11,-77,372,19,D
3293,2019.12.04,,13.45.37,0,5G,-101,-13,0.0,11,-77,463,7,D
3294,2019.12.04,,13.45.38,0,5G,-101,-13,0.0,11,-77,2713,49,D
3295,2019.12.04,,13.45.39,0,5G,-100,-15,5.0,11,-77,2663,24,D
3296,2019.12.04,,13.45.40,0,5G,-100,-15,5.0,11,-77,1191,23,D
3297,2019.12.04,,13.45.41,0,5G,-99,-14,6.0,11,-77,890,13,D
3298,2019.12.04,,13.45.42,0,5G,-99,-14,6.0,11,-77,1474,18,D
3299,2019.12.04,,13.45.43,0,5G,-100,-14,-3.0,11,-77,1566,16,D
3300,2019.12.04,,13.45.44,0,5G,-100,-14,-3.0,11,-77,1785,18,D
3301,2019.12.04,,13.45.45,0,5G,-100,-16,4.0,11,-77,658,27,D
3302,2019.12.04,,13.45.46,0,5G,-100,-16,4.0,11,-77,1066,23,D
3303,2019.12.04,,13.45.47,0,5G,-101,-17,-3.0,11,-77,320,5,D
3304,2019.12.04,,13.45.49,0,5G,-101,-17,-3.0,11,-77,807,12,D
3305,2019.12.04,,13.45.50,0,5G,-101,-17,6.0,11,-77,844,14,D
3306,2019.12.04,,13.45.51,0,5G,-101,-17,6.0,11,-77,468,6,D
3307,2019.12.04,,13.45.52,0,5G,-99,-11,2.0,11,-77,200,3,D
3308,2019.12.04,,13.45.53,0,5G,-99,-11,2.0,11,-77,698,23,D
3309,2019.12.04,,13.45.54,0,5G,-99,-11,7.0,11,-77,157,7,D
3310,2019.12.04,,13.45.55,0,5G,-99,-11,7.0,11,-77,111,3,D
3311,2019.12.04,,13.45.56,0,5G,-102,-11,5.0,15,-85,162,11,D
3312,2019.12.04,,13.45.57,0,5G,-102,-11,5.0,11,-83,179,4,D
3313,2019.12.04,,13.45.58,0,5G,-105,-13,4.0,9,-86,150,11,D
3314,2019.12.04,,13.45.59,0,5G,-105,-13,4.0,9,-86,275,14,D
3315,2019.12.04,,13.46.00,0,5G,-107,-12,-3.0,9,-86,95,9,D
3316,2019.12.04,,13.46.01,0,5G,-107,-12,-3.0,9,-86,168,8,D
3317,2019.12.04,,13.46.02,0,5G,-105,-13,-4.0,7,-88,34,3,D
3318,2019.12.04,,13.46.04,0,5G,-105,-13,-4.0,7,-88,11,1,D
3319,2019.12.04,,13.46.05,0,5G,-103,-17,-2.0,11,-110,34,34,D
3320,2019.12.04,,13.46.06,0,5G,-103,-17,-2.0,15,-110,12,3,D
3324,2019.12.04,,13.46.10,0,5G,-101,-12,4.0,11,-84,293,19,D
