,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
448,2019.11.26,,13.58.51,1,5G,-100,-12,0.0,14,-81,4578,49,D,
449,2019.11.26,,13.58.52,1,5G,-100,-12,0.0,8,-83,7124,54,D,
450,2019.11.26,,13.58.53,1,5G,-100,-11,5.0,8,-83,5093,42,D,
451,2019.11.26,,13.58.54,1,5G,-100,-11,5.0,8,-83,6993,70,D,
452,2019.11.26,,13.58.55,1,5G,-100,-15,6.0,8,-83,10258,67,D,
459,2019.11.26,,13.59.03,1,5G,-101,-13,2.0,13,-81,15,27,D,
477,2019.11.26,,13.59.22,1,5G,-100,-13,0.0,12,-81,11,1,D,
493,2019.11.26,,13.59.40,1,5G,-101,-14,0.0,10,-84,2504,56,D,
494,2019.11.26,,13.59.41,1,5G,-101,-18,-2.0,10,-84,13,5,D,
495,2019.11.26,,13.59.42,1,5G,-101,-18,-2.0,10,-84,35,4,D,
496,2019.11.26,,13.59.43,1,5G,-101,-12,7.0,12,-82,711,66,D,
497,2019.11.26,,13.59.44,1,5G,-101,-12,7.0,12,-82,43,2,D,
498,2019.11.26,,13.59.45,1,5G,-102,-11,6.0,12,-82,23,2,D,
499,2019.11.26,,13.59.46,1,5G,-102,-11,6.0,14,-110,33,1,D,
500,2019.11.26,,13.59.47,1,5G,-102,-12,1.0,14,-110,34,2,D,
501,2019.11.26,,13.59.48,1,5G,-102,-12,1.0,14,-110,67,3,D,
502,2019.11.26,,13.59.49,1,5G,-102,-12,-1.0,14,-110,55,2,D,
503,2019.11.26,,13.59.50,1,5G,-102,-12,-1.0,14,-84,890,17,D,
504,2019.11.26,,13.59.52,1,5G,-101,-14,5.0,14,-84,522,9,D,
505,2019.11.26,,13.59.53,1,5G,-101,-14,5.0,14,-84,56,5,D,
506,2019.11.26,,13.59.54,1,5G,-101,-14,-8.0,14,-84,45,3,D,
507,2019.11.26,,13.59.55,1,5G,-101,-14,-8.0,14,-84,168,8,D,
508,2019.11.26,,13.59.56,1,5G,-101,-13,7.0,14,-84,391,7,D,
509,2019.11.26,,13.59.57,1,5G,-101,-13,7.0,14,-84,133,5,D,
510,2019.11.26,,13.59.58,1,5G,-102,-12,6.0,14,-84,24,5,D,
511,2019.11.26,,13.59.59,1,5G,-102,-12,6.0,6,-81,67,3,D,
512,2019.11.26,,14.00.00,1,5G,-102,-12,8.0,15,-83,24,5,D,
513,2019.11.26,,14.00.01,1,5G,-102,-12,8.0,15,-83,103,9,D,
514,2019.11.26,,14.00.02,1,5G,-101,-12,5.0,15,-83,11,0,D,
515,2019.11.26,,14.00.03,1,5G,-101,-12,5.0,15,-83,33,34,D,
517,2019.11.26,,14.00.06,1,5G,-102,-11,4.0,14,-85,11,9,D,
519,2019.11.26,,14.00.08,1,5G,-101,-11,5.0,7,-81,11,0,D,
521,2019.11.26,,14.00.10,1,5G,-102,-12,4.0,11,-85,3232,48,D,
522,2019.11.26,,14.00.11,1,5G,-101,-10,5.0,9,-83,1159,26,D,
523,2019.11.26,,14.00.12,1,5G,-101,-10,5.0,9,-83,10635,158,D,
524,2019.11.26,,14.00.13,1,5G,-102,-13,4.0,9,-83,29649,235,D,
566,2019.11.26,,14.00.59,1,5G,-101,-14,-3.0,8,-79,15062,120,D,
567,2019.11.26,,14.01.00,1,5G,-101,-14,-3.0,8,-83,9108,48,D,
570,2019.11.26,,14.01.03,1,5G,-100,-17,1.0,8,-83,18,33,D,
574,2019.11.26,,14.01.07,1,5G,-101,-12,5.0,11,-85,32,16,D,
595,2019.11.26,,14.01.30,1,5G,-101,-14,-4.0,8,-85,11,1,D,
608,2019.11.26,,14.01.44,1,5G,-101,-14,-4.0,15,-110,5359,87,D,
609,2019.11.26,,14.01.45,1,5G,-101,-14,-4.0,15,-110,22466,347,D,
610,2019.11.26,,14.01.46,1,5G,-101,-14,3.0,15,-110,3487,58,D,
626,2019.11.26,,14.02.04,1,5G,-100,-14,-1.0,7,-82,18,32,D,
646,2019.11.26,,14.02.25,1,5G,-100,-13,0.0,15,-85,29,12,D,
651,2019.11.26,,14.02.31,1,5G,-100,-14,6.0,15,-83,1151,26,D,
652,2019.11.26,,14.02.32,1,5G,-100,-9,4.0,15,-86,29911,181,D,
694,2019.11.26,,14.03.17,1,5G,-100,-12,7.0,14,-110,32573,236,D,
736,2019.11.26,,14.04.03,1,5G,-100,-10,7.0,15,-85,23934,179,D,
737,2019.11.26,,14.04.04,1,5G,-100,-10,7.0,15,-85,4040,55,D,
778,2019.11.26,,14.04.48,1,5G,-100,-14,2.0,13,-87,2570,24,D,
779,2019.11.26,,14.04.49,1,5G,-100,-14,2.0,15,-85,26843,248,D,
792,2019.11.26,,14.05.03,1,5G,-101,-12,5.0,15,-85,15,28,D,
821,2019.11.26,,14.05.34,1,5G,-101,-11,-1.0,11,-83,5887,119,D,
822,2019.11.26,,14.05.35,1,5G,-102,-13,6.0,11,-83,1974,44,D,
823,2019.11.26,,14.05.37,1,5G,-102,-13,6.0,11,-83,16693,190,D,
824,2019.11.26,,14.05.38,1,5G,-100,-11,3.0,12,-110,10138,93,D,
848,2019.11.26,,14.06.04,1,5G,-100,-10,9.0,15,-85,15,27,D,
866,2019.11.26,,14.06.23,1,5G,-100,-12,10.0,15,-85,21842,242,D,
867,2019.11.26,,14.06.24,1,5G,-100,-12,10.0,15,-85,5647,60,D,
881,2019.11.26,,14.06.39,1,5G,-100,-12,6.0,14,-87,14,6,D,
904,2019.11.26,,14.07.04,1,5G,-101,-12,9.0,14,-85,14,0,D,
908,2019.11.26,,14.07.08,1,5G,-100,-11,6.0,14,-85,1622,22,D,
909,2019.11.26,,14.07.09,1,5G,-100,-11,6.0,14,-85,30174,273,D,
951,2019.11.26,,14.07.55,1,5G,-100,-11,8.0,14,-85,5318,115,D,
952,2019.11.26,,14.07.56,1,5G,-100,-12,6.0,12,-83,16574,282,D,
953,2019.11.26,,14.07.57,1,5G,-100,-12,6.0,12,-83,4947,108,D,
954,2019.11.26,,14.07.58,1,5G,-100,-11,6.0,12,-83,7097,136,D,
959,2019.11.26,,14.08.03,1,5G,-101,-12,4.0,12,-86,18,32,D,
997,2019.11.26,,14.08.44,1,5G,-101,-14,3.0,14,-84,8305,134,D,
998,2019.11.26,,14.08.45,1,5G,-101,-10,5.0,14,-84,12617,144,D,
999,2019.11.26,,14.08.47,1,5G,-101,-10,5.0,14,-84,14510,106,D,
1016,2019.11.26,,14.09.05,1,5G,-101,-13,5.0,12,-110,14,26,D,
1041,2019.11.26,,14.09.32,1,5G,-101,-12,4.0,15,-87,28055,221,D,
1070,2019.11.26,,14.10.03,1,5G,-99,-10,7.0,13,-82,15,28,D,
1083,2019.11.26,,14.10.17,1,5G,-101,-12,-2.0,14,-82,11626,110,D,
1084,2019.11.26,,14.10.18,1,5G,-100,-11,3.0,13,-86,20123,130,D,
1095,2019.11.26,,14.10.30,1,5G,-101,-13,1.0,14,-86,14,6,D,
1105,2019.11.26,,14.10.41,1,5G,-101,-12,5.0,13,-87,67,47,D,
1106,2019.11.26,,14.10.42,1,5G,-100,-14,3.0,13,-87,47,70,D,
1107,2019.11.26,,14.10.43,1,5G,-100,-14,3.0,13,-87,18,80,D,
1126,2019.11.26,,14.11.04,1,5G,-101,-11,1.0,10,-85,31261,272,D,
1135,2019.11.26,,14.11.13,1,5G,-101,-13,2.0,13,-87,67,14,D,
1142,2019.11.26,,14.11.21,1,5G,-101,-11,3.0,14,-110,66,17,D,
1168,2019.11.26,,14.11.49,1,5G,-100,-13,2.0,14,-83,3084,61,D,
1169,2019.11.26,,14.11.50,1,5G,-100,-13,2.0,14,-83,14414,252,D,
1170,2019.11.26,,14.11.51,1,5G,-101,-14,3.0,14,-83,14035,232,D,
1184,2019.11.26,,14.12.06,1,5G,-100,-14,-1.0,11,-83,20,1,D,
1197,2019.11.26,,14.12.20,1,5G,-99,-11,8.0,11,-86,27,14,D,
1198,2019.11.26,,14.12.21,1,5G,-100,-13,3.0,11,-86,31,15,D,
1212,2019.11.26,,14.12.36,1,5G,-99,-12,8.0,13,-82,3538,71,D,
1213,2019.11.26,,14.12.37,1,5G,-99,-12,8.0,13,-82,11804,206,D,
1214,2019.11.26,,14.12.38,1,5G,-99,-16,8.0,8,-85,2782,42,D,
1215,2019.11.26,,14.12.40,1,5G,-99,-16,8.0,8,-85,15911,102,D,
